row_label_raw,row_label_full,Phải trả cho các bên liên quan (Thuyết minh số 31.2),Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm > 20.366.886.457.438,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm > 490.295.190.106,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm > 20.366.886.457.438,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm > 490.295.190.106
Phải trả cho người bán ngắn hạn khác,Phải trả cho người bán ngắn hạn khác,Phải trả cho người bán ngắn hạn khác,1.112.569.974.133,238.875.961.263,1112569974133.0,238875961263.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,21.479.456.431.571,729.171.151.369,21479456431571.0,729171151369.0
Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn,Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn,Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn,,,,
Phải trả một đối tác doanh nghiệp hoạt động trong lĩnh vực bất động sản,Chi tiết các khoản phải trả cho người bán khác chiếm trên 10% tổng phải trả cho người bán ngắn hạn > Phải trả một đối tác doanh nghiệp hoạt động trong lĩnh vực bất động sản,Phải trả một đối tác doanh nghiệp hoạt động trong lĩnh vực bất động sản,133.391.073.585,24.861.789.705,133391073585.0,24861789705.0
