row_label_raw,row_label_full,Ông Nguyễn Thế Anh,Trường Ban,col_2,numeric__Trường Ban,numeric__col_2
Ông Đình Ngọc Lân,Ông Đình Ngọc Lân,Ông Đình Ngọc Lân,Thành viên,,,
Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Thành viên,,,
Bà Nguyễn Thị Vân Trinh,Bà Nguyễn Thị Vân Trinh,Bà Nguyễn Thị Vân Trinh,Thành viên,miễn nhiệm ngày 26 tháng 4 năm 2017,,
