row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Góp vốn,Cổ tức được chia,Cổ tức nhận được,Đơn vị tính: VNDThu hồi tiền đặtcọc/Nhận đặt cọc,numeric__Mối quan hệ,numeric__Góp vốn,numeric__Cổ tức được chia,numeric__Cổ tức nhận được,numeric__Đơn vị tính: VNDThu hồi tiền đặtcọc/Nhận đặt cọc
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,-,(1.562.500.000.000),1.562.500.000.000,-,,,-1562500000000.0,1562500000000.0,
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Công ty con,-,(222.369.375.000),222.369.375.000,-,,,-222369375000.0,222369375000.0,
Công ty Phúc đồng,Công ty Phúc đồng,Công ty Phúc đồng,Công ty con,294.000.000.000,-,-,-,,294000000000.0,,,
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Công ty con,250.000.000.000,-,-,-,,250000000000.0,,,
Công ty Vinfast,Công ty Vinfast,Công ty Vinfast,Công ty con,5.250.000.000.000,-,-,-,,5250000000000.0,,,
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,-,-,-,(740.645 135.897),,,,,
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,-,-,-,(122.074 519.324),,,,,
Công ty Vincom Retail,Công ty Vincom Retail Miền Nam > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,-,(130.385.978.462),130.385.978.462,(5.500.000 000.000),,,-130385978462.0,130385978462.0,
Công ty BFF,Công ty Vincom Retail Miền Nam > Công ty BFF,Công ty BFF,Công ty con đến ngày 8tháng 7 năm 2017,-,(43.043.478.261),43.043.478.261,-,,,-43043478261.0,43043478261.0,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,
,,,,,,,Đơn vị tính: VNDThu hồi tiền đặtcọc/Nhận đặt cọc,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Góp vốn,Cổ tức được chia,Cổ tức nhận được,Đơn vị tính: VNDThu hồi tiền đặtcọc/Nhận đặt cọc,,,,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,-,340.000.000.000,(340.000.000.000),1.733.000.000.000,,,340000000000.0,-340000000000.0,1733000000000.0
Công ty Sài Đồng,Bên liên quan > Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,-,-,(939.964.899.900),(77.535.805.847),,,,-939964899900.0,-77535805847.0
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,512.156.250.000,(512.156.250.000),-,,,512156250000.0,-512156250000.0,
Công ty Vinmec,Bên liên quan > Công ty Vinmec,Công ty Vinmec,Công ty con,1.788.908.480.000,-,-,-,,1788908480000.0,,,
Công ty Thời Đại,Bên liên quan > Công ty Thời Đại,Công ty Thời Đại,Công ty con,-,300.000.000.000,(300.000.000.000),-,,,300000000000.0,-300000000000.0,
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,5.256.710.680.000,-,-,-,,5256710680000.0,,,
Công ty Vinhomes Quản lý,Bên liên quan > Công ty Vinhomes Quản lý,Công ty Vinhomes Quản lý,Công ty con đến ngày3 tháng 2 năm 2016,576.500.000.000,136.607.638.640,(136.607.638.640),-,,576500000000.0,136607638640.0,-136607638640.0,
Công ty BDS Thăng Long,Bên liên quan > Công ty BDS Thăng Long,Công ty BDS Thăng Long,Công ty con,32.200.000.000,-,-,-,,32200000000.0,,,
