row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm
-,-,-,1.207.500.000,1207500000.0
-,-,-,20.860.000.000,20860000000.0
-,-,-,11.918.388.608,11918388608.0
-,-,-,12.679.846.970,12679846970.0
94.558.323.365,94.558.323.365,94.558.323.365,-,
186.956.134.372,94.558.323.365 > 186.956.134.372,186.956.134.372,115.036.291.726,115036291726.0
-,94.558.323.365 > -,-,7.113.555.554,7113555554.0
111.751.978.123,94.558.323.365 > 111.751.978.123,111.751.978.123,165.317.436.018,165317436018.0
-,94.558.323.365 > -,-,71.512.316.098,71512316098.0
13.221.779.554,94.558.323.365 > 13.221.779.554,13.221.779.554,18.992.859.067,18992859067.0
406.488.215.414,94.558.323.365 > 406.488.215.414,406.488.215.414,424.638.194.041,424638194041.0
,,,Đơn vị tính: VND,
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,
9.822.251.781.478,9.822.251.781.478,9.822.251.781.478,-,
7.649.167.285.200,7.649.167.285.200,7.649.167.285.200,-,
2.370.400.000.000,2.370.400.000.000,2.370.400.000.000,-,
56.269.681.079,2.370.400.000.000 > 56.269.681.079,56.269.681.079,295.129.385.824,295129385824.0
67.975.103.621,2.370.400.000.000 > 67.975.103.621,67.975.103.621,5.162.316.839,5162316839.0
-,2.370.400.000.000 > -,-,6.000.000.000,6000000000.0
20.099.913.474,2.370.400.000.000 > 20.099.913.474,20.099.913.474,27.871.126.596,27871126596.0
-,2.370.400.000.000 > -,-,25.454.058.904,25454058904.0
357.738.644.934,2.370.400.000.000 > 357.738.644.934,357.738.644.934,127.347.934.199,127347934199.0
22.984.047.652,2.370.400.000.000 > 22.984.047.652,22.984.047.652,3.330.367.744,3330367744.0
20.366.886.457.438,2.370.400.000.000 > 20.366.886.457.438,20.366.886.457.438,490.295.190.106,490295190106.0
