row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm
449.115.355.917,449.115.355.917,449.115.355.917,-,
59.578.016.783,449.115.355.917 > 59.578.016.783,59.578.016.783,1.378.304.051,1378304051.0
64.319.500.004,449.115.355.917 > 64.319.500.004,64.319.500.004,3.096.722.223,3096722223.0
99.406.323.473,449.115.355.917 > 99.406.323.473,99.406.323.473,2.807.490.130,2807490130.0
12.767.314.126,449.115.355.917 > 12.767.314.126,12.767.314.126,4.350.787.700,4350787700.0
-,449.115.355.917 > -,-,83.609.221.017,83609221017.0
64.190.805.600,449.115.355.917 > 64.190.805.600,64.190.805.600,152.978.379.071,152978379071.0
-,449.115.355.917 > -,-,48.899.375.001,48899375001.0
-,449.115.355.917 > -,-,130.621.372.244,130621372244.0
37.213.214.839,449.115.355.917 > 37.213.214.839,37.213.214.839,21.140.106.077,21140106077.0
205.845.359.380,449.115.355.917 > 205.845.359.380,205.845.359.380,20.338.651.059,20338651059.0
11.113.951.945,449.115.355.917 > 11.113.951.945,11.113.951.945,1.142.578.559,1142578559.0
346.644.195.192,449.115.355.917 > 346.644.195.192,346.644.195.192,69.556.576.064,69556576064.0
39.938.694.445,449.115.355.917 > 39.938.694.445,39.938.694.445,6.707.944.445,6707944445.0
15.157.694.170,449.115.355.917 > 15.157.694.170,15.157.694.170,3.594.083.170,3594083170.0
32.673.135.000,449.115.355.917 > 32.673.135.000,32.673.135.000,5.651.702.000,5651702000.0
131.796.036.112,449.115.355.917 > 131.796.036.112,131.796.036.112,61.952.622.223,61952622223.0
82.026.282.499,82.026.282.499,82.026.282.499,-,
-,82.026.282.499 > -,-,69.566.563.889,69566563889.0
-,82.026.282.499 > -,-,11.475.639.202,11475639202.0
272.137.175.622,82.026.282.499 > 272.137.175.622,272.137.175.622,271.823.582.874,271823582874.0
1.923.923.055.107,82.026.282.499 > 1.923.923.055.107,1.923.923.055.107,970.691.700.999,970691700999.0
