row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,508.443.633.641,73.440.265.060,508443633641.0,73440265060.0
Chi phí thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn > Chi phí thuế thu nhập doanh nghiệp tạm tính,Chi phí thuế thu nhập doanh nghiệp tạm tính,82.591.555.608,12.976.433.497,82591555608.0,12976433497.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,31.697.546.432,28.227.529.506,31697546432.0,28227529506.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,622.732.735.681,114.644.228.063,622732735681.0,114644228063.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,91.066.805.834,47.302.743.958,91066805834.0,47302743958.0
Chi phí giải phóng mặt bằng,Dài hạn > Chi phí giải phóng mặt bằng,Chi phí giải phóng mặt bằng,279.689.397.589,-,279689397589.0,
Chi phí cung cấp dịch vụ quản lý văn phòng trả trước,Dài hạn > Chi phí cung cấp dịch vụ quản lý văn phòng trả trước,Chi phí cung cấp dịch vụ quản lý văn phòng trả trước,457.162.019,9.808.000.104,457162019.0,9808000104.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,5.623.514.695,4.435.097.212,5623514695.0,4435097212.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,376.836.880.137,61.545.841.274,376836880137.0,61545841274.0
