row_label_raw,row_label_full,Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu và trái phiếu chuyển đổi phân bổ trong năm),Năm nay > 2.622.865.363.642,Đơn vị tính: VND > Năm trước > 3.287.464.598.199,numeric__Năm nay > 2.622.865.363.642,numeric__Đơn vị tính: VND > Năm trước > 3.287.464.598.199
Trích lập dự phòng giảm giá các khoản đầu tư tài chính,Trích lập dự phòng giảm giá các khoản đầu tư tài chính,Trích lập dự phòng giảm giá các khoản đầu tư tài chính,74.027.568.864,149.144.639.895,74027568864.0,149144639895.0
Lỗ từ thanh lý các khoản đầu tư,Lỗ từ thanh lý các khoản đầu tư,Lỗ từ thanh lý các khoản đầu tư,96.607.771.779,7.292.913.510,96607771779.0,7292913510.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,1.977.518.411,150.279.074.274,1977518411.0,150279074274.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,1.511.694.049,33.861.843.885,1511694049.0,33861843885.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.796.989.916.745,3.628.043.069.763,2796989916745.0,3628043069763.0
