row_label_raw,row_label_full,Mã số 05. Lãi từ hoạt động đầu tư,Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư
Lãi thuần từ thanh lý các khoản đầu tư,Lãi thuần từ thanh lý các khoản đầu tư,Lãi thuần từ thanh lý các khoản đầu tư,(138.461.711.468),(125.724.662.058),-138461711468.0,-125724662058.0
"Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức",(3.747.302.393.550),(3.433.227.084.271),-3747302393550.0,-3433227084271.0
Tổng cộng,Tổng cộng,Tổng cộng,(3.885.764.105.018),(3.558.951.746.329),-3885764105018.0,-3558951746329.0
Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,,
Tiền chi đầu tư vào công ty con,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,(6.804.862.039.405),(13.695.202.258.008),-6804862039405.0,-13695202258008.0
Tiền chi mua cổ phần/góp vốn vào các công ty khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua cổ phần/góp vốn vào các công ty khác,Tiền chi mua cổ phần/góp vốn vào các công ty khác,(9.800.000.000),(8.441.695.372.100),-9800000000.0,-8441695372100.0
Đặt cọc theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Đặt cọc theo hợp đồng hợp tác kinh doanh,Đặt cọc theo hợp đồng hợp tác kinh doanh,(4.875.000.000.000),-,-4875000000000.0,
Tổng cộng,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(11.689.662.039.405),(22.136.897.630.108),-11689662039405.0,-22136897630108.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,18.675.295.595.559,4.944.982.800.218,18675295595559.0,4944982800218.0
Thu hồi vốn góp vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi vốn góp vào công ty con,Thu hồi vốn góp vào công ty con,120.000.000.000,-,120000000000.0,
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bắt động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bắt động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bắt động sản,1.600.000.000.000,282.183.867.442,1600000000000.0,282183867442.0
Nhận đặt cọc cho mục đích đầu tư vào các dự án bắt động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Nhận đặt cọc cho mục đích đầu tư vào các dự án bắt động sản,Nhận đặt cọc cho mục đích đầu tư vào các dự án bắt động sản,6.362.719.655.221,-,6362719655221.0,
Nhận đặt cọc cho mục đích chuyển nhượng khoản đầu tư vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Nhận đặt cọc cho mục đích chuyển nhượng khoản đầu tư vào công ty con,Nhận đặt cọc cho mục đích chuyển nhượng khoản đầu tư vào công ty con,306.062.000.000,-,306062000000.0,
Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,-,12.335.985.885.006,,12335985885006.0
Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,2.200.000.000.000,233.333.333.335,2200000000000.0,233333333335.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,29.264.077.250.780,17.796.485.886.001,29264077250780.0,17796485886001.0
