row_label_raw,row_label_full,STT,Tên đơn vị (*),Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hop lý,Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp,Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị,Số đầu năm > Giá trị hop lý,Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp,numeric__Tên đơn vị (*),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hop lý,numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp,numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Giá trị hop lý,numeric__Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp
24,24,24,Công ty Mễ Trì,(3),834.000,26.959.050.000,(**),"1,00%",81.565.200,2.636.595.090.000,(**),"97,80%",,-3.0,834000.0,26959050000.0,,0.01,81565200.0,2636595090000.0,,0.978
25,25,25,Công ty VinDS,,(*),7.000.000.000,(**),"1,00%",700.000,7.000.000.000,(**),"1,00%",,,,7000000000.0,,0.01,700000.0,7000000000.0,,0.01
26,26,26,Công ty Vicentra,(12),-,-,(**),-,175.000.000,4.529.642.075.345,(**),"63,15%",,-12.0,,,,,175000000.0,4529642075345.0,,0.6315
27,27,27,Công ty TNHH Đầu tư và Phát triển Thành phố Hoàng Gia,(11),,,,,,,,,,-11.0,,,,,,,,
28,28,28,Công ty TNHH Kinh doanh Bắt động sản Vinhomes 1,(13),-,-,(**),-,(**),1.089.006.034.344,(***),"100,00%",,-13.0,,,,,,1089006034344.0,,1.0
29,29,29,"Công ty TNHH Đầu tư Kinh doanh Thương mại BFF (""Công ty BFF"")",(14),,,(**),,,,,,,-14.0,,,,,,,,
30,30,30,Công ty TNHH Kinh doanh thương mại dịch vụ Hoa Mai,(15),-,-,(**),-,(*),198.000.000.000,(**),"86,09%",,-15.0,,,,,,198000000000.0,,0.8609
31,31,31,Công ty Cổ phần Năng lượng Hải Linh,(11),-,-,(**),-,940.000,170.770.000.000,(**),"74,00%",,-11.0,,,,,940000.0,170770000000.0,,0.74
32,32,32,Công ty Cổ phần Vinpearlland,(11),,,(**),,,,,,,-11.0,,,,,,,,
33,33,33,Công ty TNHH Kinh doanh Bắt động sản Vinhomes 2,"(11), (17)",-,-,(**),-,1.287.966,44.155.614.197,(**),"0,91%",,,,,,,1287966.0,44155614197.0,,0.0091
34,34,34,Công ty TNHH Quản lý Xây dựng Vincom 6,"(11), (17)",-,-,(**),-,(*),5.640.000.000,(**),"94,00%",,,,,,,,5640000000.0,,0.94
,,,,,56.274.105.299.937,56.274.105.299.937,56.274.105.299.937,,(*),17.000.000.000,(**),"94,00%",,,56274105299937.0,56274105299937.0,56274105299937.0,,,17000000000.0,,0.94
