row_label_raw,row_label_full,STT,Tên công ty,Tên viết tắt,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tắt,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Vincom Retail,Công ty Vincom Retail,"58,87","56,84",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng, kinh doanh bất động sản và cho thuê mặt bằng bán lẻ",,,58.87,56.84,,
2,2,2,Công ty TNHH Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,"58,87","56,84","72 Lê Thánh Tôn và 45A Lý Tư Trọng, phường Bến Nghé, quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng, kinh doanh bất động sản và cho thuê mặt bằng bán lẻ",,,58.87,56.84,,
3,3,3,Công ty TNHH Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,"58,87","56,84","Số 72A, Nguyễn Trãi, phường Thương Đình, quận Thanh Xuân, TP Hà Nội","Đầu tư, xây dựng, kinh doanh bất động sản và cho thuê mặt bằng bán lẻ",,,58.87,56.84,,
4,4,4,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Suối Hoa,"97,83","55,61","Km1 + 200, đường Trần Hưng Đạo, phường Suối Hoa, TP Bắc Ninh, tỉnh Bắc Ninh","Đầu tư, xây dựng và kinh doanh bất động sản",,,97.83,55.61,,
5,5,5,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,Công ty Thời Đại,"100,00","100,00","72 Lê Thánh Tôn và 45A Lý Tư Trọng, phường Bến Nghé, quận 1, TP Hồ Chí Minh",Cho thuê mặt bằng bán lẻ,,,100.0,100.0,,
6,6,6,Công ty TNHH Quản lý Xây dựng Vincom,Công ty Xây dựng Vincom,"100,00","100,00",Khu Đô thị Sinh thái Vinhomes Riverside (1),Xây dựng nhà và các công trình kỹ thuật dân dụng,,,100.0,100.0,,
6,6,6,Công ty TNHH Quản lý Xây dựng Vincom,Công ty Xây dựng Vincom,"100,00","100,00",Khu Đô thị Sinh thái Vinhomes Riverside (1),Hoạt động kiến trúc và tư vấn kỹ thuật,,,100.0,100.0,,
7,7,7,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Hoàng Gia,"97,85","95,45","Số 72A, Nguyễn Trãi, phường Thương Đình, quận Thanh Xuân, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,97.85,95.45,,
8,8,8,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Nam Hà Nội,"98,90","98,90","Số 458 phố Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trung, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,98.9,98.9,,
9,9,9,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Sài Đồng,"94,00","94,00",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,94.0,94.0,,
10,10,10,Công ty Cổ phần Bất động sản Xavinco,Công ty Xavinco,"96,44","96,39","Số 191 Bà Triệu, phường Lê Đại Hành, quận Hai Bà Trung, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,96.44,96.39,,
11,11,11,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Tân Liên Phát,"95,00","95,00","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,95.0,95.0,,
