row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Phải thu từ cung cấp dịch vụ quản lý và dịch vụ khác,Phải thu từ cung cấp dịch vụ quản lý và dịch vụ khác,Phải thu từ cung cấp dịch vụ quản lý và dịch vụ khác,903.579.647.235,631.393.854.072,903579647235.0,631393854072.0
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,261.681.485.724,223.715.714.426,261681485724.0,223715714426.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,77.033.049.332,28.408.278.592,77033049332.0,28408278592.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.242.294.182.291,883.517.847.090,1242294182291.0,883517847090.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 31.2),Trong đó: > Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 31.2),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 31.2),980.612.696.567,646.055.182.131,980612696567.0,646055182131.0
Phải thu ngắn hạn từ khách hàng khác,Trong đó: > Phải thu ngắn hạn từ khách hàng khác,Phải thu ngắn hạn từ khách hàng khác,261.681.485.724,237.462.664.959,261681485724.0,237462664959.0
Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn,Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn,,
Phải thu từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn > Phải thu từ một đối tác doanh nghiệp,Phải thu từ một đối tác doanh nghiệp,-,137.000.000.000,,137000000000.0
Dự phòng phải thu ngắn hạn khó đòi,Chi tiết các khoản phải thu từ khách hàng khác chấm trên 10% tổng phải thu khách hàng ngắn hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(4.944.255.910),(4.944.255.910),-4944255910.0,-4944255910.0
