row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay phải trả,Lãi vay đã trả,Đơn vị tính: VND,numeric__Mối quan hệ,numeric__Lãi vay phải thu,numeric__Lãi vay phải trả,numeric__Lãi vay đã trả,numeric__Đơn vị tính: VND
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay phải trả,Lãi vay đã trả,Lãi vay đã thu,,,,,
Công ty Vinpeariland,Bên liên quan > Công ty Vinpeariland,Công ty Vinpeariland,Công ty con đến ngày11 tháng 9 năm 2017,48.406.125.189,-,-,(9.620.361.997),,48406125189.0,,,-9620361997.0
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,125.690.344.095,-,11.721.773,(134.922.566.317),,125690344095.0,,11721773.0,-134922566317.0
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,88.438.623.742,-,-,(40.705.915.411),,88438623742.0,,,-40705915411.0
Công ty Vincommerce,Bên liên quan > Công ty Vincommerce,Công ty Vincommerce,Công ty con,23.978.858.969,(66.644.932.454),75.467.794.304,(3.833.344.582),,23978858969.0,-66644932454.0,75467794304.0,-3833344582.0
Công ty Sài Đồng,Bên liên quan > Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,13.749.345.279,(5.346.535.721),45.058.429.580,(31.185.292.500),,13749345279.0,-5346535721.0,45058429580.0,-31185292500.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,134.259.212.406,-,-,-,,134259212406.0,,,
Công ty Thời Đại,Bên liên quan > Công ty Thời Đại,Công ty Thời Đại,Công ty con,33.288.477.727,(22.954.166.667),22.954.166.667,(74.432.373.108),,33288477727.0,-22954166667.0,22954166667.0,-74432373108.0
Công ty Vinmec,Bên liên quan > Công ty Vinmec,Công ty Vinmec,Công ty con,67.138.752.592,(20.827.916.667),32.398.333.334,(64.698.085.926),,67138752592.0,-20827916667.0,32398333334.0,-64698085926.0
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty con,76.580.652.401,(88.201.835),-,(94.413.471.807),,76580652401.0,-88201835.0,,-94413471807.0
Công ty Dư lịch Phú Quốc,Bên liên quan > Công ty Dư lịch Phú Quốc,Công ty Dư lịch Phú Quốc,Công ty con,66.123.361.115,(27.222.222),-,(71.657.333.336),,66123361115.0,-27222222.0,,-71657333336.0
Công ty Vinpearl Phú Quốc,Bên liên quan > Công ty Vinpearl Phú Quốc,Công ty Vinpearl Phú Quốc,Công ty con đến ngày22 tháng 12 năm 2016,208.443.752,(83.667.232.531),106.911.866.632,(208.443.752),,208443752.0,-83667232531.0,106911866632.0,-208443752.0
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,733.709.733.080,(385.819.102.997),345.430.800.000,(1.275.731.419.182),,733709733080.0,-385819102997.0,345430800000.0,-1275731419182.0
Công ty Vincom Retail Miền Bắc,Bên liên quan > Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,212.110.472.221,(5.692.500.000),4.801.250.000,(215.934.611.113),,212110472221.0,-5692500000.0,4801250000.0,-215934611113.0
Công ty Vincom Retail Miền Nam,Bên liên quan > Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,1.321.502.778,(71.512.316.098),-,(2.157.555.556),,1321502778.0,-71512316098.0,,-2157555556.0
Công ty Tiến lâm Việt Nam,Bên liên quan > Công ty Tiến lâm Việt Nam,Công ty Tiến lâm Việt Nam,Công ty con,-,(90.895.006.784),-,-,,,-90895006784.0,,
Công ty Vinpearl Nha Trang,Bên liên quan > Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty con đến ngày3 tháng 1 năm 2017,-,(66.948.562.525),87.912.366.699,-,,,-66948562525.0,87912366699.0,
