row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Cho vay,Thu hồi gốc cho vay,Vay,Đơn vị tính: VNDThanh toán gốc vay,numeric__Mối quan hệ,numeric__Cho vay,numeric__Thu hồi gốc cho vay,numeric__Vay,numeric__Đơn vị tính: VNDThanh toán gốc vay
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,9.716.526.388.892,(12.575.526.388.892),-,-,,9716526388892.0,-12575526388892.0,,
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,538.373.753.930,(863.491.328.819),(2.692.664.697.870),1.980.449 324.696,,538373753930.0,-863491328819.0,-2692664697870.0,
Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty con đến ngày 8 tháng 5 năm 2017,925.000.000.000,(410.000.000.000),-,-,,925000000000.0,-410000000000.0,,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,3.616.844.385.803,(4.588.409.209.904),-,-,,3616844385803.0,-4588409209904.0,,
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,2.190.209.000.000,(1.939.600.000.000),-,-,,2190209000000.0,-1939600000000.0,,
Công ty TNHH Vinpearl Phú Quốc,Công ty TNHH Vinpearl Phú Quốc,Công ty TNHH Vinpearl Phú Quốc,Công ty con đến ngày 22 tháng 12 năm 2016,163.374.555.555,(163.374.555.555),(2.849.000.000.000),5.594.979 064.343,,163374555555.0,-163374555555.0,-2849000000000.0,
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con đến ngày 11 tháng 9 năm 2017,1.464.008.000.000,(1.464.000.000.000),-,-,,1464008000000.0,-1464000000000.0,,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,213.170.400.000,(8.058.541.666.667),-,-,,213170400000.0,-8058541666667.0,,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,2.006.601.666.666,(1.752.601.666.666),-,1.870.000 000.000,,2006601666666.0,-1752601666666.0,,
Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty con đến ngày 3 tháng 1 năm 2017,-,-,(1.632.000.000.000),4.178.340 818.626,,,,-1632000000000.0,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con,3.664.207.694.445,(2.143.281.916.666),(2.550.000.000.000),4.715.000 000.000,,3664207694445.0,-2143281916666.0,-2550000000000.0,
Công ty Thời Đại,Công ty Thời Đại,Công ty Thời Đại,Công ty con,437.045.833.333,(664.837.109.126),(2.960.000.000.000),2.960.000 000.000,,437045833333.0,-664837109126.0,-2960000000000.0,
Công ty Cần Giờ,Công ty Cần Giờ,Công ty Cần Giờ,Công ty con,-,-,(1.891.000.000.000),-,,,,-1891000000000.0,
Công ty VinDS,Công ty VinDS,Công ty VinDS,Công ty con,308.000.000.000,-,-,315.800 000.000,,308000000000.0,,,
Công ty Vinpearl Bãi Dài,Công ty Vinpearl Bãi Dài,Công ty Vinpearl Bãi Dài,Công ty con đến ngày 3 tháng 1 năm 2017,-,-,(680.000.000.000),610.000 000.000,,,,-680000000000.0,
Công ty Mễ Trì,Công ty Mễ Trì,Công ty Mễ Trì,Công ty con,-,-,(500.000.000.000),620.000 000.000,,,,-500000000000.0,
Công ty FPI,Công ty FPI,Công ty FPI,Công ty con đến ngày 3 tháng 1 năm 2017,-,-,(1.553.000.000.000),1.789.000 000.000,,,,-1553000000000.0,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,2.949.744.825.963,(3.726.633.233.848),(151.203.146.457),-,,2949744825963.0,-3726633233848.0,-151203146457.0,
Công ty Sinh Thái,Công ty Sinh Thái,Công ty Sinh Thái,Công ty con,-,-,(2.260.000.000.000),-,,,,-2260000000000.0,
Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty con đến ngày 28 tháng 12 năm 2016,-,-,(1.474.900.000.000),1.474.900 000.000,,,,-1474900000000.0,
