row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Tăng trong năm,Trong năm > Giảm trong năm,Trong năm > Giá trị đồng thời là số có khả năng trả nợ,Đơn vị tính: VND Số cuối năm,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Tăng trong năm,numeric__Trong năm > Giảm trong năm,numeric__Trong năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Đơn vị tính: VND Số cuối năm
Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,31.4,8.813.731.679.790,5.327.287.747.963,(13.192.182.977.753),948.836.450.000,,314.0,8813731679790.0,5327287747963.0,-13192182977753.0,948836450000.0,
Vay các bên khác ngắn hạn,Vay các bên khác ngắn hạn,Vay các bên khác ngắn hạn,,-,2.843.620.000.000,(2.843.620.000.000),-,,,,2843620000000.0,-2843620000000.0,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,23.2,3.973.682.722.225,5.621.336.625.283,(4.005.147.722.222),5.589.871.625.286,,232.0,3973682722225.0,5621336625283.0,-4005147722222.0,5589871625286.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,12.787.414.402.015,13.792.244.373.246,(20.040.950.699.975),6.538.708.075.286,,,12787414402015.0,13792244373246.0,-20040950699975.0,6538708075286.0,
23.2 Vay dài hạn,23.2 Vay dài hạn,23.2 Vay dài hạn,,,,,,,,,,,,
,,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Đơn vị tính: VND Số cuối năm,,,,,,
,,,Thuyết minh,Giá trị đồng thời là số có khả năng trả nợ,Tăng trong năm,Giảm trong năm,Giá trị đồng thời là số có khả năng trả nợ,Đơn vị tính: VND Số cuối năm,,,,,,
Trái phiếu phát hành trong nước,23.2 Vay dài hạn > Trái phiếu phát hành trong nước,Trái phiếu phát hành trong nước,23.2.1,16.657.021.062.547,7.301.003.400.221,(13.874.657.397.386),10.083.367.065.382,,2321.0,16657021062547.0,7301003400221.0,-13874657397386.0,10083367065382.0,
Vay bên liên quan dài hạn đến hạn trả,23.2 Vay dài hạn > Vay bên liên quan dài hạn đến hạn trả,Vay bên liên quan dài hạn đến hạn trả,23.2.3,2.541.450.329.867,2.609.080.587.372,(2.575.265.458.620),2.575.265.458.619,,2323.0,2541450329867.0,2609080587372.0,-2575265458620.0,2575265458619.0,
Khoản vay hợp vốn,23.2 Vay dài hạn > Khoản vay hợp vốn,Khoản vay hợp vốn,23.2.2,6.611.612.859.408,1.072.584.283.276,(1.038.998.252.032),6.645.198.890.652,,2322.0,6611612859408.0,1072584283276.0,-1038998252032.0,6645198890652.0,
Trái phiếu dài hạn đến hạn trả,23.2 Vay dài hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,23.2.1,(3.973.682.722.225),(2.022.996.166.664),4.005.147.722.222,(1.991.531.166.667),,2321.0,-3973682722225.0,-2022996166664.0,4005147722222.0,-1991531166667.0,
Vay dài hạn đến hạn trả,23.2 Vay dài hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,23.2.3,-,(3.598.340.458.619),-,(3.598.340.458.619),,2323.0,,-3598340458619.0,,-3598340458619.0,
TỔNG CỘNG,23.2 Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,21.836.401.529.597,5.361.331.645.586,(13.483.773.385.816),13.713.959.789.367,,,21836401529597.0,5361331645586.0,-13483773385816.0,13713959789367.0,
