row_label_raw,row_label_full,Năm 2015 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 7.174,Phát sinh trong năm > Số phải nộpTriệu VND > 78.461,Phát sinh trong năm > Số đã nộpTriệu VND > (77.617),Số dưcuối nămTriệu VND > 8.018,numeric__Số dưđầu nămTriệu VND > 7.174,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 78.461,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (77.617),numeric__Số dưcuối nămTriệu VND > 8.018
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.791,246.994,(239.464),22.321,14791.0,246994.0,-239464.0,22321.0
Thuế nhà – đất,Thuế nhà – đất,Thuế nhà – đất,1,51,(51),1,1.0,51.0,-51.0,1.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,3.651,69.765,(70.500),2.916,3651.0,69765.0,-70500.0,2916.0
,,,25.617,395.271,(387.632),33.256,25617.0,395271.0,-387632.0,33256.0
Năm 2014,Năm 2014,Năm 2014,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm 2014,Năm 2014,Năm 2014,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm 2014 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.070,67.587,(66.483),7.174,6070.0,67587.0,-66483.0,7174.0
Thuế thu nhập doanh nghiệp,Năm 2014 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(122.409),189.414,(52.214),14.791,-122409.0,189414.0,-52214.0,14791.0
Thuế nhà – đất,Năm 2014 > Thuế nhà – đất,Thuế nhà – đất,-,112,(111),1,,112.0,-111.0,1.0
Các loại thuế khác,Năm 2014 > Các loại thuế khác,Các loại thuế khác,2.872,55.339,(54.560),3.651,2872.0,55339.0,-54560.0,3651.0
,,,(113.467),312.452,(173.368),25.617,-113467.0,312452.0,-173368.0,25617.0
