row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Các quỹ khác (*)Triệu VND,Lợi nhuận chưa phân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Các quỹ khác (*)Triệu VND,numeric__Lợi nhuận chưa phân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,9.376.965,(259.421),352.918,1.448.000,(3.899),1.350.324,12.264.887,9376965.0,-259421.0,352918.0,1448000.0,-3899.0,1350324.0,12264887.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,922.249,922.249,,,,,,922249.0,922249.0
Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,-,(405.703),-,-,-,-,(405.703),,-405703.0,,,,,-405703.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,46.112,92.226,-,(138.338),-,,,46112.0,92226.0,,-138338.0,
Phân bổ vào quỹ khen thưởng phúc lợi(Thuyết minh 22(ii)),Phân bổ vào quỹ khen thưởng phúc lợi(Thuyết minh 22(ii)),Phân bổ vào quỹ khen thưởng phúc lợi(Thuyết minh 22(ii)),-,-,-,-,-,(20.000),(20.000),,,,,,-20000.0,-20000.0
Chia cổ tức năm 2013,Chia cổ tức năm 2013,Chia cổ tức năm 2013,-,-,-,-,-,(636.847),(636.847),,,,,,-636847.0,-636847.0
Chuyển sang khoản phải trả và công nợkhác (Thuyết minh 22(ii)),Chuyển sang khoản phải trả và công nợkhác (Thuyết minh 22(ii)),Chuyển sang khoản phải trả và công nợkhác (Thuyết minh 22(ii)),-,-,-,-,4.020,-,4.020,,,,,4020.0,,4020.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,9.376.965,(665.124),399.030,1.540.226,121,1.477.388,12.128.606,9376965.0,-665124.0,399030.0,1540226.0,121.0,1477388.0,12128606.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.012.086,1.012.086,,,,,,1012086.0,1012086.0
Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,-,(601),-,-,-,-,(601),,-601.0,,,,,-601.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,50.605,101.208,-,(151.813),-,,,50605.0,101208.0,,-151813.0,
Phân bổ vào quỹ khen thưởngphúc lợi (Thuyết minh 22(ii)),Phân bổ vào quỹ khen thưởngphúc lợi (Thuyết minh 22(ii)),Phân bổ vào quỹ khen thưởngphúc lợi (Thuyết minh 22(ii)),-,-,-,-,-,(10.000),(10.000),,,,,,-10000.0,-10000.0
Chia cổ tức năm 2014 (c),Chia cổ tức năm 2014 (c),Chia cổ tức năm 2014 (c),-,-,-,-,-,(627.392),(627.392),,,,,,-627392.0,-627392.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,9.376.965,(665.725),449.635,1.641.434,121,1.700.269,12.502.699,9376965.0,-665725.0,449635.0,1641434.0,121.0,1700269.0,12502699.0
