row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014_1,Ngày 31 tháng 12 năm 2014_2,numeric__Ngày 31 tháng 12 năm 2014,numeric__Ngày 31 tháng 12 năm 2014_1,numeric__Ngày 31 tháng 12 năm 2014_2
,,,Bằng VNDTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộng (*)Triệu VND,,,
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,39.275,-,39.275,39275.0,,39275.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,2.626.706,7.433.308,10.060.014,2626706.0,7433308.0,10060014.0
Thư tín dụng trả ngay,Thư tín dụng trả ngay,Thư tín dụng trả ngay,-,2.541.974,2.541.974,,2541974.0,2541974.0
Thư tín dụng trả chậm,Thư tín dụng trả chậm,Thư tín dụng trả chậm,-,3.068.850,3.068.850,,3068850.0,3068850.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,1.158.794,116.574,1.275.368,1158794.0,116574.0,1275368.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,830.288,46.484,876.772,830288.0,46484.0,876772.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,220.573,1.062,221.635,220573.0,1062.0,221635.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,1.441.242,83.124,1.524.366,1441242.0,83124.0,1524366.0
,,,6.316.878,13.291.376,19.608.254,6316878.0,13291376.0,19608254.0
