row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2015Triệu VND,2014Triệu VND(phân loại lại),numeric__col_1,numeric__Thuyết minh,numeric__2015Triệu VND,numeric__2014Triệu VND(phân loại lại)
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,25,13.867.746,13.440.026,,25.0,13867746.0,13440026.0
2,2,2,Chỉ phí lãi và các chi phí tương tự,26,(8.230.631),(8.955.948),,26.0,-8230631.0,-8955948.0
I,I,I,Thu nhập lãi thuần,,5.637.115,4.484.078,,,5637115.0,4484078.0
3,3,3,Thu nhập từ hoạt động dịch vụ,27,907.623,786.092,,27.0,907623.0,786092.0
4,4,4,Chỉ phí hoạt động dịch vụ,28,(246.215),(215.248),,28.0,-246215.0,-215248.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,661.408,570.844,,,661408.0,570844.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,119.964,183.451,,29.0,119964.0,183451.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,30,14.400,12.710,,30.0,14400.0,12710.0
V,V,V,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,31,(767.167),132.025,,31.0,-767167.0,132025.0
5,5,5,Thu nhập từ hoạt động khác,,267.890,65.052,,,267890.0,65052.0
6,6,6,Chỉ phí hoạt động khác,,(32.913),(57.376),,,-32913.0,-57376.0
VI,VI,VI,Lãi thuần từ hoạt động khác,32,234.977,7.676,,32.0,234977.0,7676.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",33,134.957,280.827,,33.0,134957.0,280827.0
VIII,VIII,VIII,Chỉ phí hoạt động,34,(3.900.233),(3.719.660),,34.0,-3900233.0,-3719660.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,2.135.421,1.951.951,,,2135421.0,1951951.0
X,X,X,Chỉ phí dự phòng rủi ro tín dụng,35,(874.250),(847.782),,35.0,-874250.0,-847782.0
XI,XI,XI,Tổng lợi nhuận trước thuế(mang sang trang sau),,1.261.171,1.104.169,,,1261171.0,1104169.0
