row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Quá hạnTriệu VND,Khôngchịu lãiTriệu VND,Đến 1 thángTriệu VND,Từ trên 1 đến3 thángTriệu VND,Từ trên 3đến 6 thángTriệu VND,Từ trên 6đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Khôngchịu lãiTriệu VND,numeric__Đến 1 thángTriệu VND,numeric__Từ trên 1 đến3 thángTriệu VND,numeric__Từ trên 3đến 6 thángTriệu VND,numeric__Từ trên 6đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.806.053,-,-,-,-,-,-,2.806.053,,2806053.0,,,,,,,2806053.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,4.608.680,-,-,-,-,-,-,4.608.680,,4608680.0,,,,,,,4608680.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,24.078,-,4.133.693,4.640.764,1.527.668,-,-,452.000,10.778.203,24078.0,,4133693.0,4640764.0,1527668.0,,,452000.0,10778203.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,47.603,-,-,-,-,-,-,47.603,,47603.0,,,,,,,47603.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,3.745.975,-,1.957.844,115.581.449,5.992.766,4.913.096,785.710,138.488,133.115.328,3745975.0,,1957844.0,115581449.0,5992766.0,4913096.0,785710.0,138488.0,133115328.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,890.845,2.651.703,-,-,-,-,33.672.587,3.277.393,40.492.528,890845.0,2651703.0,,,,,33672587.0,3277393.0,40492528.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,2.358.404,-,-,-,-,-,-,2.358.404,,2358404.0,,,,,,,2358404.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.427.215,-,-,-,-,-,-,2.427.215,,2427215.0,,,,,,,2427215.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,1.355.820,7.716.615,-,-,-,-,-,-,9.072.435,1355820.0,7716615.0,,,,,,,9072435.0
,,,6.016.718,22.616.273,6.091.537,120.222.213,7.520.434,4.913.096,34.458.297,3.867.881,205.706.449,6016718.0,22616273.0,6091537.0,120222213.0,7520434.0,4913096.0,34458297.0,3867881.0,205706449.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,3.999.345,1.179.636,-,-,-,-,5.178.981,,,3999345.0,1179636.0,,,,,5178981.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,1.485.139,875.276,-,-,-,-,2.360.415,,,1485139.0,875276.0,,,,,2360415.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,81.838.504,20.246.258,24.012.905,8.740.627,40.556.672,36,175.395.002,,,81838504.0,20246258.0,24012905.0,8740627.0,40556672.0,36.0,175395002.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,130.935,-,-,-,30.743,161.678,,,,130935.0,,,,30743.0,161678.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,-,-,3.000.000,3.000.000,,,,,,,,3000000.0,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.783.038,-,-,-,-,-,-,2.783.038,,2783038.0,,,,,,,2783038.0
,,,-,2.783.038,87.322.988,22.432.105,24.012.905,8.740.627,40.556.672,3.030.779,188.879.114,,2783038.0,87322988.0,22432105.0,24012905.0,8740627.0,40556672.0,3030779.0,188879114.0
Mức chênh nhạy cảm với lãi suấtnội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bằng,Mức chênh nhạy cảm với lãi suấtnội bằng,6.016.718,19.833.235,(81.231.451),97.790.108,(16.492.471),(3.827.531),(6.098.375),837.102,16.827.335,6016718.0,19833235.0,-81231451.0,97790108.0,-16492471.0,-3827531.0,-6098375.0,837102.0,16827335.0
Mức chênh nhạy cảm với lãi suấtngoại bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtngoại bằng,Mức chênh nhạy cảm với lãi suấtngoại bằng,-,(8.597.478),-,-,-,-,-,-,(8.597.478),,-8597478.0,,,,,,,-8597478.0
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng","Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng","Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng",6.016.718,11.235.757,(81.231.451),97.790.108,(16.492.471),(3.827.531),(6.098.375),837.102,8.229.857,6016718.0,11235757.0,-81231451.0,97790108.0,-16492471.0,-3827531.0,-6098375.0,837102.0,8229857.0
