row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VND(phân loại lại),numeric__2015Triệu VND,numeric__2014Triệu VND(phân loại lại)
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu từ các công cụ tài chính phải sinh khác,Thu nhập khác > Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,1.091,3.480,1091.0,3480.0
Thu hồi nợ đã xóa sổ trong những năm trước,Thu nhập khác > Thu hồi nợ đã xóa sổ trong những năm trước,Thu hồi nợ đã xóa sổ trong những năm trước,146.890,51.844,146890.0,51844.0
Thu từ hoạt động kinh doanh khác,Thu nhập khác > Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,1.462,380,1462.0,380.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,118.447,9.348,118447.0,9348.0
,,,267.890,65.052,267890.0,65052.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi về các công cụ tài chính phải sinh khác,Chi phí khác > Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(1.080),(3.444),-1080.0,-3444.0
Chi về hoạt động kinh doanh khác,Chi phí khác > Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(340),(384),-340.0,-384.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,(31.493),(53.548),-31493.0,-53548.0
,,,(32.913),(57.376),-32913.0,-57376.0
,,,234.977,7.676,234977.0,7676.0
