row_label_raw,row_label_full,col_0,col_1,2015Triệu VND,2014Triệu VND,numeric__col_1,numeric__2015Triệu VND,numeric__2014Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định và chi phí xây dựng cơ bản dở dang,(245.159),(446.140),,-245159.0,-446140.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",336.588,11.000,,336588.0,11000.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",33.751,78.224,,33751.0,78224.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",270.591,338.535,,270591.0,338535.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,395.771,(18.381),,395771.0,-18381.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
04,04,04,Cổ tức trả cho cổ đông,(627.392),(636.847),,-627392.0,-636847.0
05,05,05,Tiền chi mua cổ phiếu quỹ,(601),(405.703),,-601.0,-405703.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(627.993),(1.042.550),,-627993.0,-1042550.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,2.690.804,(272.400),,2690804.0,-272400.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,9.489.379,9.761.779,,9489379.0,9761779.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM (THUYẾT MINH 37),12.180.183,9.489.379,,12180183.0,9489379.0
