row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ vốn cổ phần,Tỷ lệ vốn cổ phần_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ vốn cổ phần,numeric__Tỷ lệ vốn cổ phần_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31/12/2015,31/12/2014,,,,
Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu (“ACBD”),Tên công ty > Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu (“ACBD”),Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu (“ACBD”),0303832198,Dịch vụ bảo vệ,10%,10%,303832198.0,,0.1,0.1
