row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015 > Chưa quá hạn và chưa bị suy giảm giá trị > Đã quá hạn nhưng chưa bị suy giảm giá trị > Bị suy giảm giá trị > Giá trị gộp,Tiền gửi và cho vay các tổ chức tin dụng khác Triệu VND > 10.354.125 > - > 424.078 > 10.778.203,Các công cụ tài chính phải sinh Triệu VND > 47.603 > - > 47.603,Chứng khoán kinh doanh Triệu VND > -,Cho vay khách hàng Triệu VND > 128.991.212 > 71.840 > 4.052.276 > 133.115.328,Chứng khoán đầu tư Triệu VND > 36.651.033 > - > 3.037.698 > 39.688.731,Tài sản tài chính khác Triệu VND > 6.269.089 > - > 1.547.070 > 7.816.159,Tổng cộng Triệu VND > 182.313.062 > 71.840 > 9.061.122 > 191.446.024,numeric__Tiền gửi và cho vay các tổ chức tin dụng khác Triệu VND > 10.354.125 > - > 424.078 > 10.778.203,numeric__Các công cụ tài chính phải sinh Triệu VND > 47.603 > - > 47.603,numeric__Chứng khoán kinh doanh Triệu VND > -,numeric__Cho vay khách hàng Triệu VND > 128.991.212 > 71.840 > 4.052.276 > 133.115.328,numeric__Chứng khoán đầu tư Triệu VND > 36.651.033 > - > 3.037.698 > 39.688.731,numeric__Tài sản tài chính khác Triệu VND > 6.269.089 > - > 1.547.070 > 7.816.159,numeric__Tổng cộng Triệu VND > 182.313.062 > 71.840 > 9.061.122 > 191.446.024
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(200.141),-,-,(1.514.105),(1.564.659),(562.058),(3.840.963),-200141.0,,,-1514105.0,-1564659.0,-562058.0,-3840963.0
Giá trị ròng,Giá trị ròng,Giá trị ròng,10.578.062,47.603,-,131.601.223,38.124.072,7.254.101,187.605.061,10578062.0,47603.0,,131601223.0,38124072.0,7254101.0,187605061.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,,,,,,,,,,,,,,
Dự phòng cụ thể,Dự phòng rủi ro > Dự phòng cụ thể,Dự phòng cụ thể,(200.141),-,-,(542.768),(1.533.949),-,(2.276.858),-200141.0,,,-542768.0,-1533949.0,,-2276858.0
Dự phòng chung,Dự phòng rủi ro > Dự phòng chung,Dự phòng chung,-,-,-,(971.337),(30.710),-,(1.002.047),,,,-971337.0,-30710.0,,-1002047.0
Dự phòng giảm giá,Dự phòng rủi ro > Dự phòng giảm giá,Dự phòng giảm giá,-,-,-,-,-,(22.500),(22.500),,,,,,-22500.0,-22500.0
Dự phòng rủi ro khác,Dự phòng rủi ro > Dự phòng rủi ro khác,Dự phòng rủi ro khác,-,-,-,-,-,(539.558),(539.558),,,,,,-539558.0,-539558.0
,,,(200.141),-,-,(1.514.105),(1.564.659),(562.058),(3.840.963),-200141.0,,,-1514105.0,-1564659.0,-562058.0,-3840963.0
