row_label_raw,row_label_full,09,(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(2.273.197),1.699.290,numeric__(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,numeric__(2.273.197),numeric__1.699.290
10,10,10,Tăng các khoản về kinh doanh chứng khoán,(802.719),(7.268.776),,-802719.0,-7268776.0
11,11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(33.200),(14.253),,-33200.0,-14253.0
12,12,12,Tăng các khoản cho vay khách hàng,(17.761.585),(9.174.806),,-17761585.0,-9174806.0
13,13,13,Giảm nguồn dự phòng để bù đáp tổn thất các khoản,(1.137.530),(455.327),,-1137530.0,-455327.0
14,14,14,Giảm/(tăng) khác về tài sản hoạt động,136.360,(254.776),,136360.0,-254776.0
