row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VND(phân loại lại),numeric__2015Triệu VND,numeric__2014Triệu VND(phân loại lại)
"1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí",8.767,13.357,8767.0,13357.0
2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,1.911.674,1.662.927,1911674.0,1662927.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
• Chi lương và phụ cấp,Trong đó: > • Chi lương và phụ cấp,• Chi lương và phụ cấp,1.692.431,1.472.182,1692431.0,1472182.0
• Các khoản chi đóng góp theo lương,Trong đó: > • Các khoản chi đóng góp theo lương,• Các khoản chi đóng góp theo lương,128.301,116.291,128301.0,116291.0
• Chi trợ cấp,Trong đó: > • Chi trợ cấp,• Chi trợ cấp,2.772,3.005,2772.0,3005.0
• Chi phí khác,Trong đó: > • Chi phí khác,• Chi phí khác,88.170,71.449,88170.0,71449.0
3. Chi về tài sản,Trong đó: > 3. Chi về tài sản,3. Chi về tài sản,802.177,708.647,802177.0,708647.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
• Chi phí khấu hao tài sản cố định,Trong đó: > • Chi phí khấu hao tài sản cố định,• Chi phí khấu hao tài sản cố định,232.964,206.308,232964.0,206308.0
• Chi phí khác,Trong đó: > • Chi phí khác,• Chi phí khác,569.213,502.339,569213.0,502339.0
4. Chi cho hoạt động quản lý công vụ,Trong đó: > 4. Chi cho hoạt động quản lý công vụ,4. Chi cho hoạt động quản lý công vụ,982.198,949.205,982198.0,949205.0
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > 5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",183.258,165.519,183258.0,165519.0
6. Chi phí dự phòng (*),Trong đó: > 6. Chi phí dự phòng (*),6. Chi phí dự phòng (*),12.159,220.005,12159.0,220005.0
,,,3.900.233,3.719.660,3900233.0,3719660.0
