row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,2.806.053,2.496.266,,5.0,2806053.0,2496266.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,4.608.680,3.357.730,,6.0,4608680.0,3357730.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,10.578.062,4.874.800,,7.0,10578062.0,4874800.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,6.018.585,3.821.446,,,6018585.0,3821446.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,4.759.618,1.757.307,,,4759618.0,1757307.0
3,A > 3,3,Dự phòng rủi ro,,(200.141),(703.953),,,-200141.0,-703953.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,-,1.015.548,,8.0,,1015548.0
1,A > 1,1,Chứng khoán kinh doanh,,-,1.015.684,,,,1015684.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,-,(136),,,,-136.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,47.603,14.403,,9.0,47603.0,14403.0
VI,A > VI,VI,Cho vay khách hàng,,131.601.223,113.798.958,,,131601223.0,113798958.0
1,A > 1,1,Cho vay khách hàng,10,133.115.328,115.353.743,,10.0,133115328.0,115353743.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(1.514.105),(1.554.785),,11.0,-1514105.0,-1554785.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,38.454.774,39.676.852,,12.0,38454774.0,39676852.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,11.757.883,23.683.261,,,11757883.0,23683261.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,28.734.645,16.386.318,,,28734645.0,16386318.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(2.037.754),(392.727),,,-2037754.0,-392727.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,2.347.826,2.790.252,,13.0,2347826.0,2790252.0
1,A > 1,1,Đầu tư vào công ty con,,2.140.000,2.040.000,,,2140000.0,2040000.0
2,A > 2,2,Vốn góp liên doanh,,1.000,1.000,,,1000.0,1000.0
3,A > 3,3,Đầu tư vào công ty liên kết,,200,200,,,200.0,200.0
4,A > 4,4,Đầu tư dài hạn khác,,217.204,797.936,,,217204.0,797936.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(10.578),(48.884),,,-10578.0,-48884.0
X,A > X,X,Tài sản cố định,,2.427.215,2.749.954,,,2427215.0,2749954.0
1,A > 1,1,Tài sản cố định hữu hình,14,2.002.407,2.330.759,,14.0,2002407.0,2330759.0
a,A > a,a,Nguyên giá tài sản cố định,,3.127.099,3.325.798,,,3127099.0,3325798.0
b,A > b,b,Hao mòn tài sản cố định,,(1.124.692),(995.039),,,-1124692.0,-995039.0
3,A > 3,3,Tài sản cố định vô hình,15,424.808,419.195,,15.0,424808.0,419195.0
a,A > a,a,Nguyên giá tài sản cố định,,593.855,552.965,,,593855.0,552965.0
b,A > b,b,Hao mòn tài sản cố định,,(169.047),(133.770),,,-169047.0,-133770.0
XII,A > XII,XII,Tài sản Có khác,16,8.510.377,9.122.593,,16.0,8510377.0,9122593.0
1,A > 1,1,Các khoản phải thu,,5.671.293,5.911.028,,,5671293.0,5911028.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.782.516,3.240.254,,,2782516.0,3240254.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,23,2.800,4.891,,23.0,2800.0,4891.0
4,A > 4,4,Tài sản Có khác,,615.826,508.267,,,615826.0,508267.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(562.058),(541.847),,,-562058.0,-541847.0
,,,TỔNG TÀI SẢN,,201.381.813,179.897.356,,,201381813.0,179897356.0
