row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,JPYTriệu VND,AUDTriệu VND,CADTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__JPYTriệu VND,numeric__AUDTriệu VND,numeric__CADTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",2.190.185,486.320,62.829,18.319,14.180,19.289,8.977,5.954,2.806.053,2190185.0,486320.0,62829.0,18319.0,14180.0,19289.0,8977.0,5954.0,2806053.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.561.895,2.046.785,-,-,-,-,-,-,4.608.680,2561895.0,2046785.0,,,,,,,4608680.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tải sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,6.675.002,3.955.615,-,76.494,49.785,4.988,1.942,14.377,10.778.203,6675002.0,3955615.0,,76494.0,49785.0,4988.0,1942.0,14377.0,10778203.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,1.631.448,(1.594.706),-,24.465,-,(5.242),(6.776),(1.586),47.603,1631448.0,-1594706.0,,24465.0,,-5242.0,-6776.0,-1586.0,47603.0
Cho vay khách hàng – gộp,Tải sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,124.269.773,8.511.481,328.616,5.458,-,-,-,-,133.115.328,124269773.0,8511481.0,328616.0,5458.0,,,,,133115328.0
Chứng khoán đầu tư – gộp,Tải sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,40.492.528,-,-,-,-,-,-,-,40.492.528,40492528.0,,,,,,,,40492528.0
"Góp vốn, đầu tư dài hạn – gộp","Tải sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",2.358.404,-,-,-,-,-,-,-,2.358.404,2358404.0,,,,,,,,2358404.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,2.427.215,-,-,-,-,-,-,-,2.427.215,2427215.0,,,,,,,,2427215.0
Tài sản Có khác – gộp,Tải sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,8.798.486,194.265,2.993,10,-,65.524,8,11.149,9.072.435,8798486.0,194265.0,2993.0,10.0,,65524.0,8.0,11149.0,9072435.0
,,,191.404.936,13.599.760,394.438,124.746,63.965,84.559,4.151,29.894,205.706.449,191404936.0,13599760.0,394438.0,124746.0,63965.0,84559.0,4151.0,29894.0,205706449.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,5.178.981,-,-,-,-,-,-,-,5.178.981,5178981.0,,,,,,,,5178981.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,2.237.629,122.674,-,15,23,74,-,-,2.360.415,2237629.0,122674.0,,15.0,23.0,74.0,,,2360415.0
