row_label_raw,row_label_full,Triệu VND,Ngày 31 tháng 12 năm 2015 > Miền Bắc,Ngày 31 tháng 12 năm 2015 > Miền Trung,Ngày 31 tháng 12 năm 2015 > Miền Nam,Ngày 31 tháng 12 năm 2015 > Loại trừ,Ngày 31 tháng 12 năm 2015 > Tổng,numeric__Ngày 31 tháng 12 năm 2015 > Miền Bắc,numeric__Ngày 31 tháng 12 năm 2015 > Miền Trung,numeric__Ngày 31 tháng 12 năm 2015 > Miền Nam,numeric__Ngày 31 tháng 12 năm 2015 > Loại trừ,numeric__Ngày 31 tháng 12 năm 2015 > Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"1. Tiền mặt, vàng bạc, đá quý","Tài sản > 1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý",324.024,231.615,2.250.414,-,2.806.053,324024.0,231615.0,2250414.0,,2806053.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,72.112,153.621,2.201.482,-,2.427.215,72112.0,153621.0,2201482.0,,2427215.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,31.396.409,17.373.010,218.963.377,(71.584.251),196.148.545,31396409.0,17373010.0,218963377.0,-71584251.0,196148545.0
,,,31.792.545,17.758.246,223.415.273,(71.584.251),201.381.813,31792545.0,17758246.0,223415273.0,-71584251.0,201381813.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
1. Nợ phải trả khách hàng bên ngoài,Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,26.705.102,9.185.095,152.426.067,-,188.316.264,26705102.0,9185095.0,152426067.0,,188316264.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,4.886.999,8.388.819,58.851.408,(71.584.251),542.975,4886999.0,8388819.0,58851408.0,-71584251.0,542975.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,-,-,19.875,-,19.875,,,19875.0,,19875.0
,,,31.592.101,17.573.914,211.297.350,(71.584.251),188.879.114,31592101.0,17573914.0,211297350.0,-71584251.0,188879114.0
