row_label_raw,row_label_full,Triệu VND,Năm 2014 > Miền Bắc,Năm 2014 > Miền Trung,Năm 2014 > Miền Nam,Năm 2014 > Loại trừ,Năm 2014 > Tổng,numeric__Năm 2014 > Miền Bắc,numeric__Năm 2014 > Miền Trung,numeric__Năm 2014 > Miền Nam,numeric__Năm 2014 > Loại trừ,numeric__Năm 2014 > Tổng
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,3.395.650,1.683.644,27.169.604,(18.808.872),13.440.026,3395650.0,1683644.0,27169604.0,-18808872.0,13440026.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,1.870.010,1.140.534,10.429.482,-,13.440.026,1870010.0,1140534.0,10429482.0,,13440026.0
Doanh thu lãi từ nội bộ,Doanh thu > Doanh thu lãi từ nội bộ,Doanh thu lãi từ nội bộ,1.525.640,543.110,16.740.122,(18.808.872),-,1525640.0,543110.0,16740122.0,-18808872.0,
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,80.086,38.236,667.770,-,786.092,80086.0,38236.0,667770.0,,786092.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,4.060,7.292,662.713,-,674.065,4060.0,7292.0,662713.0,,674065.0
Chi phí,Chi phí,Chi phí,,,,,,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,2.629.325,1.253.761,23.881.734,(18.808.872),8.955.948,2629325.0,1253761.0,23881734.0,-18808872.0,8955948.0
Chi phí lãi từ khách hàng bên ngoài,Chi phí > Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,1.147.011,429.841,7.379.096,-,8.955.948,1147011.0,429841.0,7379096.0,,8955948.0
Chi phí lãi từ nội bộ,Chi phí > Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,1.482.314,823.920,16.502.638,(18.808.872),-,1482314.0,823920.0,16502638.0,-18808872.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,11.300,11.552,183.456,-,206.308,11300.0,11552.0,183456.0,,206308.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,467.670,302.714,3.015.592,-,3.785.976,467670.0,302714.0,3015592.0,,3785976.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,371.501,161.145,1.419.305,-,1.951.951,371501.0,161145.0,1419305.0,,1951951.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,48.642,58.290,740.850,-,847.782,48642.0,58290.0,740850.0,,847782.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,322.859,102.855,678.455,-,1.104.169,322859.0,102855.0,678455.0,,1104169.0
