row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Quá hạnTriệu VND,Khôngchịu lãiTriệu VND,Đến 1 thángTriệu VND,Từ trên 1 đến3 thángTriệu VND,Từ trên 3đến 6 thángTriệu VND,Từ trên 6đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Khôngchịu lãiTriệu VND,numeric__Đến 1 thángTriệu VND,numeric__Từ trên 1 đến3 thángTriệu VND,numeric__Từ trên 3đến 6 thángTriệu VND,numeric__Từ trên 6đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đa quý","Tài sản > Tiền mặt, vàng bạc, đa quý","Tiền mặt, vàng bạc, đa quý",-,2.496.266,-,-,-,-,-,-,2.496.266,,2496266.0,,,,,,,2496266.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,3.357.730,-,-,-,-,-,-,3.357.730,,3357730.0,,,,,,,3357730.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,718.908,-,2.009.198,1.469.747,200.900,1.180.000,-,-,5.578.753,718908.0,,2009198.0,1469747.0,200900.0,1180000.0,,,5578753.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,1.015.684,-,-,-,-,-,-,1.015.684,,1015684.0,,,,,,,1015684.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,14.403,-,-,-,-,-,-,14.403,,14403.0,,,,,,,14403.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.766.184,5.000,2.762.932,96.498.589,5.556.722,6.802.324,767.205,194.787,115.353.743,2766184.0,5000.0,2762932.0,96498589.0,5556722.0,6802324.0,767205.0,194787.0,115353743.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,443.125,1.395.661,-,1.796.185,300.584,3.129.349,31.173.127,1.831.548,40.069.579,443125.0,1395661.0,,1796185.0,300584.0,3129349.0,31173127.0,1831548.0,40069579.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,2.839.136,-,-,-,-,-,-,2.839.136,,2839136.0,,,,,,,2839136.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.749.954,-,-,-,-,-,-,2.749.954,,2749954.0,,,,,,,2749954.0
