row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2014,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.865.822,725.138,332.386,150.424,3.073.770,1865822.0,725138.0,332386.0,150424.0,3073770.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,20.140,101.888,-,39.425,161.453,20140.0,101888.0,,39425.0,161453.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,152.615,-,-,557,153.172,152615.0,,,557.0,153172.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.000),(29.364),(14.080),(1.278),(51.722),-7000.0,-29364.0,-14080.0,-1278.0,-51722.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,17.186,-,(28.061),(10.875),,17186.0,,-28061.0,-10875.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.031.577,814.848,318.306,161.067,3.325.798,2031577.0,814848.0,318306.0,161067.0,3325798.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,164.896,454.509,148.471,78.054,845.930,164896.0,454509.0,148471.0,78054.0,845930.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,46.738,97.543,25.834,18.137,188.252,46738.0,97543.0,25834.0,18137.0,188252.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(89),(29.083),(9.169),(802),(39.143),-89.0,-29083.0,-9169.0,-802.0,-39143.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,211.545,522.969,165.136,95.389,995.039,211545.0,522969.0,165136.0,95389.0,995039.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.700.926,270.629,183.915,72.370,2.227.840,1700926.0,270629.0,183915.0,72370.0,2227840.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.820.032,291.879,153.170,65.678,2.330.759,1820032.0,291879.0,153170.0,65678.0,2330759.0
