row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015_1,Ngày 31 tháng 12 năm 2015_2,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2015_1,numeric__Ngày 31 tháng 12 năm 2015_2
,,,Bảng VNDTriệu VND,Bảng ngoại tệTriệu VND,Tổng cộng (*)Triệu VND,,,
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,51.670,-,51.670,51670.0,,51670.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,2.574.780,7.613.180,10.187.960,2574780.0,7613180.0,10187960.0
Thư tín dụng trả ngay,Thư tín dụng trả ngay,Thư tín dụng trả ngay,-,1.955.787,1.955.787,,1955787.0,1955787.0
Thư tín dụng trả chậm,Thư tín dụng trả chậm,Thư tín dụng trả chậm,-,1.901.701,1.901.701,,1901701.0,1901701.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,1.264.090,128.788,1.392.878,1264090.0,128788.0,1392878.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.140.276,15.781,1.156.057,1140276.0,15781.0,1156057.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,254.002,-,254.002,254002.0,,254002.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,1.818.681,66.702,1.885.383,1818681.0,66702.0,1885383.0
,,,7.103.499,11.681.939,18.785.438,7103499.0,11681939.0,18785438.0
