row_label_raw,row_label_full,31/12/2016,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,134.921.093.360,-,134.921.093.360,134921093360.0,,134921093360.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,555.000.000.000,-,555.000.000.000,555000000000.0,,555000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,18.450.373.935,-,18.450.373.935,18450373935.0,,18450373935.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,-,-,-,,,
Phải thu khác,Phải thu về cho vay > Phải thu khác,Phải thu khác,790.415.634.513,690.181.497,791.105.816.010,790415634513.0,690181497.0,791105816010.0
Cộng,Phải thu về cho vay > Cộng,Cộng,1.498.787.101.808,690.181.497,1.499.477.283.305,1498787101808.0,690181497.0,1499477283305.0
01/01/2016,01/01/2016,01/01/2016,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.007.339.463.037,-,1.007.339.463.037,1007339463037.0,,1007339463037.0
Đầu tư nằm giữ đến ngày đáo hạn,01/01/2016 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,1.168.000.000.000,-,1.168.000.000.000,1168000000000.0,,1168000000000.0
Phải thu khách hàng,01/01/2016 > Phải thu khách hàng,Phải thu khách hàng,19.221.734.492,197.412.500,19.419.146.992,19221734492.0,197412500.0,19419146992.0
Phải thu về cho vay,01/01/2016 > Phải thu về cho vay,Phải thu về cho vay,12.954.861.601,-,12.954.861.601,12954861601.0,,12954861601.0
Phải thu khác,01/01/2016 > Phải thu khác,Phải thu khác,765.152.195.074,10.000.000,765.162.195.074,765152195074.0,10000000.0,765162195074.0
Cộng,01/01/2016 > Cộng,Cộng,2.972.668.254.204,207.412.500,2.972.875.666.704,2972668254204.0,207412500.0,2972875666704.0
