row_label_raw,row_label_full,31/12/2016,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,475.095.330.790,-,475.095.330.790,475095330790.0,,475095330790.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,1.442.907.348,-,1.442.907.348,1442907348.0,,1442907348.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.178.137.352.767,213.444.295.806,1.391.581.648.573,1178137352767.0,213444295806.0,1391581648573.0
Phải trả khác,Phải trả khác,Phải trả khác,12.637.274.021,8.260.419.134,20.897.693.155,12637274021.0,8260419134.0,20897693155.0
Cộng,Cộng,Cộng,1.667.312.864.926,221.704.714.940,1.889.017.579.866,1667312864926.0,221704714940.0,1889017579866.0
01/01/2016,01/01/2016,01/01/2016,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2016 > Phải trả người bán,Phải trả người bán,268.601.704.648,-,268.601.704.648,268601704648.0,,268601704648.0
Chi phí phải trả,01/01/2016 > Chi phí phải trả,Chi phí phải trả,1.681.530.550,-,1.681.530.550,1681530550.0,,1681530550.0
Vay và nợ thuê tài chính,01/01/2016 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.488.578.847.373,201.042.030.988,1.689.620.878.361,1488578847373.0,201042030988.0,1689620878361.0
Phải trả khác,01/01/2016 > Phải trả khác,Phải trả khác,125.802.479.566,7.325.448.932,133.127.928.498,125802479566.0,7325448932.0,133127928498.0
Cộng,01/01/2016 > Cộng,Cộng,1.884.664.562.137,208.367.479.920,2.093.032.042.057,1884664562137.0,208367479920.0,2093032042057.0
