row_label_raw,row_label_full,col_0,Máy móc thiết bị,Cộng,numeric__Máy móc thiết bị,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,441.326.173.511,441.326.173.511,441326173511.0,441326173511.0
Thuê tài chính trong năm,Nguyên giá > Thuê tài chính trong năm,Thuê tài chính trong năm,115.551.211.200,115.551.211.200,115551211200.0,115551211200.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.351.462.819,2.351.462.819,2351462819.0,2351462819.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,559.228.847.530,559.228.847.530,559228847530.0,559228847530.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,154.988.266.512,154.988.266.512,154988266512.0,154988266512.0
Khấu hao trong năm,Khấu hao > Khấu hao trong năm,Khấu hao trong năm,77.864.458.396,77.864.458.396,77864458396.0,77864458396.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,232.852.724.908,232.852.724.908,232852724908.0,232852724908.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,286.337.906.999,286.337.906.999,286337906999.0,286337906999.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,326.376.122.622,326.376.122.622,326376122622.0,326376122622.0
