row_label_raw,row_label_full,Loai tài sản,Thời gian khấu hao (năm),numeric__Thời gian khấu hao (năm)
Quyền sử dụng đất có thời hạn,Quyền sử dụng đất có thời hạn,Quyền sử dụng đất có thời hạn,15,15.0
Phần mềm kế toán,Phần mềm kế toán,Phần mềm kế toán,"1,5 - 3",
