row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm (trích lập quỹ) > Giảm trong năm,Năm 2016 > 128.104.981.687 > - > (113.297.650.567),Năm 2015 > 41.240.071.213 > 115.000.000.000 > (28.135.089.526),numeric__Năm 2016 > 128.104.981.687 > - > (113.297.650.567),numeric__Năm 2015 > 41.240.071.213 > 115.000.000.000 > (28.135.089.526)
- Hoàn nhập trích quỹ,- Hoàn nhập trích quỹ,- Hoàn nhập trích quỹ,(90.000.000.000),-,-90000000000.0,
- Đầu tư mua sắm tài sản cố định,- Đầu tư mua sắm tài sản cố định,- Đầu tư mua sắm tài sản cố định,(22.425.926.291),(27.914.791.663),-22425926291.0,-27914791663.0
- Chi khác cho hoạt động khoa học và công nghệ,- Chi khác cho hoạt động khoa học và công nghệ,- Chi khác cho hoạt động khoa học và công nghệ,(871.724.276),(220.297.863),-871724276.0,-220297863.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,14.807.331.120,128.104.981.687,14807331120.0,128104981687.0
