row_label_raw,row_label_full,31/12/2016,Tài sản của bộ phận > Nguyên giáTSCD HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐNăm 2016,numeric__Tài sản của bộ phận > Nguyên giáTSCD HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐNăm 2016
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,1.828.619.697.657,(1.090.885.210.682),223.490.328.971,1.156.812.768.961,28.396.348.174,112.419.252.973,1828619697657.0,-1090885210682.0,223490328971.0,1156812768961.0,28396348174.0,112419252973.0
Hoạt động SXKD sản phẩm Sửa đậu nành,Hoạt động SXKD sản phẩm Sửa đậu nành,Hoạt động SXKD sản phẩm Sửa đậu nành,1.170.867.579.528,(678.903.580.717),45.011.022.295,1.326.871.556.961,504.288.703.875,163.000.000.000,1170867579528.0,-678903580717.0,45011022295.0,1326871556961.0,504288703875.0,163000000000.0
Họat động SXKD khác,Họat động SXKD khác,Họat động SXKD khác,1.049.583.993.540,(757.292.416.633),904.768.166.682,4.420.882.966.223,1.663.262.279.057,43.224.589.157,1049583993540.0,-757292416633.0,904768166682.0,4420882966223.0,1663262279057.0,43224589157.0
Tổng cộng,Tổng cộng,Tổng cộng,4.049.071.270.725,(2.527.081.208.032),1.173.269.517.948,6.904.567.292.145,2.195.947.331.106,318.643.842.130,4049071270725.0,-2527081208032.0,1173269517948.0,6904567292145.0,2195947331106.0,318643842130.0
01/01/2016,01/01/2016,01/01/2016,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐNăm 2015,,,,,,
01/01/2016,01/01/2016,01/01/2016,Nguyên giáTSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐNăm 2015,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2016 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,1.826.650.466.821,(978.500.683.461),175.111.452.843,1.192.968.875.034,72.736.760.152,108.088.916.817,1826650466821.0,-978500683461.0,175111452843.0,1192968875034.0,72736760152.0,108088916817.0
Hoạt động SXKD sản phẩm Sửa đậu nành,01/01/2016 > Hoạt động SXKD sản phẩm Sửa đậu nành,Hoạt động SXKD sản phẩm Sửa đậu nành,861.320.724.948,(593.136.493.720),17.890.527.123,902.131.770.078,445.997.525.371,190.524.146.671,861320724948.0,-593136493720.0,17890527123.0,902131770078.0,445997525371.0,190524146671.0
Họat động SXKD khác,01/01/2016 > Họat động SXKD khác,Họat động SXKD khác,950.239.530.556,(692.624.862.735),1.260.935.906.670,3.824.167.308.516,2.049.033.031.513,44.794.426.046,950239530556.0,-692624862735.0,1260935906670.0,3824167308516.0,2049033031513.0,44794426046.0
Tổng cộng,01/01/2016 > Tổng cộng,Tổng cộng,3.638.210.722.325,(2.264.262.039.916),1.453.937.886.636,5.919.267.953.628,2.567.767.317.036,343.407.489.534,3638210722325.0,-2264262039916.0,1453937886636.0,5919267953628.0,2567767317036.0,343407489534.0
