row_label_raw,row_label_full,col_0,Đầu năm,Tăng trong năm,Giảm trong năm,Cuối năm,numeric__Đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.420.951.656.218,5.233.729.923.316,5.566.414.176.890,1.088.267.402.644,1420951656218.0,5233729923316.0,5566414176890.0,1088267402644.0
- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,782.426.879.988,2.864.521.595.544,3.000.608.535.371,646.339.940.161,782426879988.0,2864521595544.0,3000608535371.0,646339940161.0
- Ngân hàng Ngoại Thương Quảng Ngãi,- Ngân hàng Ngoại Thương Quảng Ngãi,- Ngân hàng Ngoại Thương Quảng Ngãi,553.872.777.462,2.137.406.870.883,2.303.241.129.113,388.038.519.232,553872777462.0,2137406870883.0,2303241129113.0,388038519232.0
- Ngân hàng Quân Đội Quảng Ngãi,- Ngân hàng Quân Đội Quảng Ngãi,- Ngân hàng Quân Đội Quảng Ngãi,84.651.998.768,208.903.463.991,253.384.075.432,40.171.387.327,84651998768.0,208903463991.0,253384075432.0,40171387327.0
- Ngân hàng SHB Quảng Ngãi,- Ngân hàng SHB Quảng Ngãi,- Ngân hàng SHB Quảng Ngãi,,22.897.992.898,9.180.436.974,13.717.555.924,,22897992898.0,9180436974.0,13717555924.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,26.113.031.551,25.797.161.201,26.113.031.551,25.797.161.201,26113031551.0,25797161201.0,26113031551.0,25797161201.0
- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,1.029.609.344,1.029.609.344,1.029.609.344,1.029.609.344,1029609344.0,1029609344.0,1029609344.0,1029609344.0
- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,1.000.000.000,1.000.000.000,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0,1000000000.0,1000000000.0
- Ngân hàng Nông nghiệp Quảng Ngãi,- Ngân hàng Nông nghiệp Quảng Ngãi,- Ngân hàng Nông nghiệp Quảng Ngãi,925.422.207,616.948.138,925.422.207,616.948.138,925422207.0,616948138.0,925422207.0,616948138.0
- Ngân hàng Phát triển Quảng Ngãi,- Ngân hàng Phát triển Quảng Ngãi,- Ngân hàng Phát triển Quảng Ngãi,23.158.000.000,23.150.603.719,23.158.000.000,23.150.603.719,23158000000.0,23150603719.0,23158000000.0,23150603719.0
Nợ thuê tài chính đến hạn,Nợ thuê tài chính đến hạn,Nợ thuê tài chính đến hạn,41.514.159.604,66.941.851.758,44.383.222.440,64.072.788.922,41514159604.0,66941851758.0,44383222440.0,64072788922.0
- AB Svensk Exportkredit,- AB Svensk Exportkredit,- AB Svensk Exportkredit,41.506.953.115,66.941.851.758,44.376.015.951,64.072.788.922,41506953115.0,66941851758.0,44376015951.0,64072788922.0
- Tetra Laval Credit AB,- Tetra Laval Credit AB,- Tetra Laval Credit AB,7.206.489,-,7.206.489,-,7206489.0,,7206489.0,
Cộng,Cộng,Cộng,1.488.578.847.373,5.326.468.936.275,5.636.910.430.881,1.178.137.352.767,1488578847373.0,5326468936275.0,5636910430881.0,1178137352767.0
