row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,729.322.280.466,2.745.039.249.187,120.299.922.900,43.549.269.772,3.638.210.722.325,729322280466.0,2745039249187.0,120299922900.0,43549269772.0,3638210722325.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,1.123.389.237,2.294.039.818,25.443.166.496,7.977.808.857,36.838.404.408,1123389237.0,2294039818.0,25443166496.0,7977808857.0,36838404408.0
Đ/tư XDCB h/thành,Nguyên giá > Đ/tư XDCB h/thành,Đ/tư XDCB h/thành,130.577.770.200,192.385.771.990,44.893.350.008,6.315.026.340,374.171.918.538,130577770200.0,192385771990.0,44893350008.0,6315026340.0,374171918538.0
"T/lý, nhượng bán","Nguyên giá > T/lý, nhượng bán","T/lý, nhượng bán",-,136.031.000,-,-,136.031.000,,136031000.0,,,136031000.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,13.743.546,-,13.743.546,,,13743546.0,,13743546.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,861.023.439.903,2.939.583.029.995,190.622.695.858,57.842.104.969,4.049.071.270.725,861023439903.0,2939583029995.0,190622695858.0,57842104969.0,4049071270725.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,385.575.665.795,1.736.540.157.145,109.351.215.796,32.795.001.180,2.264.262.039.916,385575665795.0,1736540157145.0,109351215796.0,32795001180.0,2264262039916.0
Tăng trong năm,Khấu hao > Tăng trong năm,Tăng trong năm,77.585.226.371,153.675.026.212,27.252.139.469,4.456.550.610,262.968.942.662,77585226371.0,153675026212.0,27252139469.0,4456550610.0,262968942662.0
- Khấu hao,Khấu hao > - Khấu hao,- Khấu hao,77.585.226.371,153.675.026.212,4.826.213.178,4.456.550.610,240.543.016.371,77585226371.0,153675026212.0,4826213178.0,4456550610.0,240543016371.0
- Sử dụng Quỹ KH&CN,Khấu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,-,-,22.425.926.291,-,22.425.926.291,,,22425926291.0,,22425926291.0
"T/lý, nhượng bán","Khấu hao > T/lý, nhượng bán","T/lý, nhượng bán",-,136.031.000,-,-,136.031.000,,136031000.0,,,136031000.0
Giảm khác,Khấu hao > Giảm khác,Giảm khác,-,-,13.743.546,-,13.743.546,,,13743546.0,,13743546.0
Số cuối năm,Khấu hao > Số cuối năm,Số cuối năm,463.160.892.166,1.890.079.152.357,136.589.611.719,37.251.551.790,2.527.081.208.032,463160892166.0,1890079152357.0,136589611719.0,37251551790.0,2527081208032.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,343.746.614.671,1.008.499.092.042,10.948.707.104,10.754.268.592,1.373.948.682.409,343746614671.0,1008499092042.0,10948707104.0,10754268592.0,1373948682409.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,397.862.547.737,1.049.503.877.638,54.033.084.139,20.590.553.179,1.521.990.062.693,397862547737.0,1049503877638.0,54033084139.0,20590553179.0,1521990062693.0
