row_label_raw,row_label_full,"I. Tổng số cán bộ, công nhân viên bình quân trong năm (người)",Năm 2015 > 23.854,Năm 2014 > 18.681,numeric__Năm 2015 > 23.854,numeric__Năm 2014 > 18.681
"II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)",,,,
1. Tổng thu nhập,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 1. Tổng thu nhập",1. Tổng thu nhập,5.613.341,4.046.380,5613341.0,4046380.0
2. Thu nhập bình quân tháng,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 2. Thu nhập bình quân tháng",2. Thu nhập bình quân tháng,"19,61","18,05",19.61,18.05
