row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2015,Năm 2014,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Mua sắm tài sản cố định,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(1.079.974),(1.383.674),,-1079974.0,-1383674.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ","LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ","Tiền thu từ thanh lý, nhượng bán TSCĐ",,22.387,1.671,,22387.0,1671.0
"Tiền chi từ thanh lý, nhượng bán TSCĐ","LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi từ thanh lý, nhượng bán TSCĐ","Tiền chi từ thanh lý, nhượng bán TSCĐ",,(2.343),(3.177),,-2343.0,-3177.0
"Tiền thu đầu tư, góp vốn vào các đơn vị khác","LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu đầu tư, góp vốn vào các đơn vị khác","Tiền thu đầu tư, góp vốn vào các đơn vị khác",,286.323,303.139,,286323.0,303139.0
"Tiền chi đầu tư, góp vốn vào các đơn vị khác","LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(393.721),(400.000),,-393721.0,-400000.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",33,277.913,248.867,33.0,277913.0,248867.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(889.415),(1.233.174),,-889415.0,-1233174.0
LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,26,1.187.248,-,26.0,1187248.0,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",26,(2.883.908),(2.389.521),26.0,-2883908.0,-2389521.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,(1.696.660),(2.389.521),,-1696660.0,-2389521.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,4.288.806,8.569.967,,4288806.0,8569967.0
Tiền và các khoản tương đương tiền tại đầu năm,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền tại đầu năm,Tiền và các khoản tương đương tiền tại đầu năm,,50.202.708,41.632.741,,50202708.0,41632741.0
Tiền và các khoản tương đương tiền từ việc nhận sáp nhập MHB,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền từ việc nhận sáp nhập MHB,Tiền và các khoản tương đương tiền từ việc nhận sáp nhập MHB,,1.477.340,-,,1477340.0,
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,37,55.968.854,50.202.708,37.0,55968854.0,50202708.0
