row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm 2015,Năm 2014,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,27,49.005.228,43.984.255,,27.0,49005228.0,43984255.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,28,(29.690.259),(27.139.993),,28.0,-29690259.0,-27139993.0
I,I,I,Thu nhập lãi thuần,,19.314.969,16.844.262,,,19314969.0,16844262.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,3.962.354,2.981.200,,,3962354.0,2981200.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(1.625.823),(1.178.465),,,-1625823.0,-1178465.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,29,2.336.531,1.802.735,,29.0,2336531.0,1802735.0
III,III,III,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,30,293.971,265.189,,30.0,293971.0,265189.0
IV,IV,IV,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,31.1,(62.986),210.369,,311.0,-62986.0,210369.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư (Lỗ)/Lãi thuần từ mua bán chứng khoán,31.2,11.294,818.551,,312.0,11294.0,818551.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư (Lỗ)/Lãi thuần từ mua bán chứng khoán,31.2,(51.692),1.028.920,,312.0,-51692.0,1028920.0
5.,5.,5.,Thu nhập từ hoạt động khác,,3.537.553,2.440.970,,,3537553.0,2440970.0
6.,6.,6.,Chi phí từ hoạt động khác,,(1.168.160),(847.030),,,-1168160.0,-847030.0
VI,VI,VI,Lãi thuần từ hoạt động khác,32,2.369.393,1.593.940,,32.0,2369393.0,1593940.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",33,448.992,371.578,,33.0,448992.0,371578.0
VII,VII,VII,Tổng thu nhập hoạt động,,24.712.164,21.906.624,,,24712164.0,21906624.0
7.,7.,7.,Chi phí nhân viên,,(6.255.652),(4.919.584),,,-6255652.0,-4919584.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(611.532),(427.552),,,-611532.0,-427552.0
9.,9.,9.,Chi phí hoạt động khác,,(4.219.992),(3.276.759),,,-4219992.0,-3276759.0
VIII,VIII,VIII,Tổng chi phí hoạt động,34,(11.087.176),(8.623.895),,34.0,-11087176.0,-8623895.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,13.624.988,13.282.729,,,13624988.0,13282729.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,,(5.676.332),(6.985.696),,,-5676332.0,-6985696.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,7.948.656,6.297.033,,,7948656.0,6297033.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,35.1,(1.566.497),(1.310.876),,351.0,-1566497.0,-1310876.0
11.,11.,11.,(Chi phí)/ Thu nhập thuế TNDN hoãn lại,35.2,(5.403),(490),,352.0,-5403.0,-490.0
XII,XII,XII,Chi phí thuế TNDN,,(1.571.900),(1.311.366),,,-1571900.0,-1311366.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,6.376.756,4.985.667,,,6376756.0,4985667.0
XIII,XIII,XIII,Phân bổ (lãi) cho cổ đông không kiểm soát,,(78.675),(37.780),,,-78675.0,-37780.0
XIII,XIII,XIII,Lợi nhuận thuần của cổ đông của Ngân hàng,,6.298.081,4.947.887,,,6298081.0,4947887.0
XIV,XIV,XIV,Lỗ lũy kế nhận từ MHB khi sáp nhập,,(475.818),-,,,-475818.0,
XIV,XIV,XIV,LỢI NHUẬN THUẬN CỦA CỔ ĐỒNG,,5.822.263,4.947.887,,,5822263.0,4947887.0
XIV,XIV,XIV,Lãi cơ bản trên mỗi cổ phiếu (đồng/cổ phiếu),36,1.434,1.378,,36.0,1434.0,1378.0
Người lập,Người lập,Người lập,Người lập,Người phê duyệt,Người phê duyệt,Người phê duyệt,,,,
Vương Thị Thanh Hoa,Vương Thị Thanh Hoa,Vương Thị Thanh Hoa,Vương Thị Thanh Hoa,Tạ Thị Hạnh,Trần Xuân Hoàng,Trần Xuân Hoàng,,,,
Phó Trường phòng,Phó Trường phòng,Phó Trường phòng,Phó Trường phòng,Kế toán Trường,Phó Tổng Giám đốc,Phó Tổng Giám đốc,,,,
Ban Kế toán,Ban Kế toán,Ban Kế toán,Ban Kế toán,,(Theo Thư Ủy quyền số,(Theo Thư Ủy quyền số,,,,
Ngày 30 tháng 3 năm 2016,Ngày 30 tháng 3 năm 2016,Ngày 30 tháng 3 năm 2016,Ngày 30 tháng 3 năm 2016,,901/QĐ-PC ngày 09 tháng 7 năm,901/QĐ-PC ngày 09 tháng 7 năm,,,,
,,,,,2012 của Chủ tịch HĐQT),2012 của Chủ tịch HĐQT),,,,
