row_label_raw,row_label_full,Bà Võ Bích Hà > Ông Trần Văn Bé,Trường Ban Kiểm soát (Bổ nhiệm ngày 17 tháng 4 năm 2015) > Trường Ban Kiểm soát (Miễn nhiệm ngày 17 tháng 4 năm 2015),numeric__Trường Ban Kiểm soát (Bổ nhiệm ngày 17 tháng 4 năm 2015) > Trường Ban Kiểm soát (Miễn nhiệm ngày 17 tháng 4 năm 2015)
Ông Cao Cự Trí,Ông Cao Cự Trí,Ông Cao Cự Trí,Thành viên chuyên trách,
Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Thành viên chuyên trách,
