row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung và Tây Nguyên,Miền Nam,Nước ngoài,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung và Tây Nguyên,numeric__Miền Nam,numeric__Nước ngoài,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,3.149.646,(919.216),4.361.480,(76.286),(138.868),6.376.756,3149646.0,-919216.0,4361480.0,-76286.0,-138868.0,6376756.0
Tổng tài sản tại ngày 31 tháng 12 năm 2015,Tổng tài sản tại ngày 31 tháng 12 năm 2015,Tổng tài sản tại ngày 31 tháng 12 năm 2015,506.037.426,129.259.688,219.734.685,839.074,(5.201.224),850.669.649,506037426.0,129259688.0,219734685.0,839074.0,-5201224.0,850669649.0
