row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc,31/12/2015 > Giá trị hiện tại,31/12/2015 > Tỷ phần nằm giữ,31/12/2014 > Giá gốc,31/12/2014 > Giá trị hiện tại,31/12/2014 > Tỷ phần nằm giữ,numeric__31/12/2015 > Giá gốc,numeric__31/12/2015 > Giá trị hiện tại,numeric__31/12/2015 > Tỷ phần nằm giữ,numeric__31/12/2014 > Giá gốc,numeric__31/12/2014 > Giá trị hiện tại,numeric__31/12/2014 > Tỷ phần nằm giữ
,,,Triệu VND,Triệu VND,%,Triệu VND,Triệu VND,%,,,,,,
Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,,,,,,
Ngân hàng Liên doanh VID Public,Đầu tư vào các TCTD > Ngân hàng Liên doanh VID Public,Ngân hàng Liên doanh VID Public,476.235,874.107,"50,00",476.235,804.018,"50,00",476235.0,874107.0,50.0,476235.0,804018.0,50.0
Ngân hàng Liên doanh Lào Việt,Đầu tư vào các TCTD > Ngân hàng Liên doanh Lào Việt,Ngân hàng Liên doanh Lào Việt,1.294.466,1.505.809,"65,00",900.745,1.075.873,"65,00",1294466.0,1505809.0,65.0,900745.0,1075873.0,65.0
Ngân hàng Liên doanh Việt Nga,Đầu tư vào các TCTD > Ngân hàng Liên doanh Việt Nga,Ngân hàng Liên doanh Việt Nga,1.505.054,1.397.510,"50,00",1.505.054,1.347.405,"50,00",1505054.0,1397510.0,50.0,1505054.0,1347405.0,50.0
Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,,,,,,
Công ty Liên doanh Tháp BIDV,Đầu tư vào TCKT > Công ty Liên doanh Tháp BIDV,Công ty Liên doanh Tháp BIDV,115.089,156.353,"55,00",115.089,143.160,"55,00",115089.0,156353.0,55.0,115089.0,143160.0,55.0
Công ty Liên doanh Quản lý Đầu tư BIDV - Vietnam Partners,Đầu tư vào TCKT > Công ty Liên doanh Quản lý Đầu tư BIDV - Vietnam Partners,Công ty Liên doanh Quản lý Đầu tư BIDV - Vietnam Partners,12.482,27.199,"50,00",12.482,24.082,"50,00",12482.0,27199.0,50.0,12482.0,24082.0,50.0
Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,Đầu tư vào TCKT > Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,400.000,342.017,"38,92",400.000,389.093,"38,92",400000.0,342017.0,38.92,400000.0,389093.0,38.92
,,,3.803.326,4.302.995,,3.409.605,3.783.631,,3803326.0,4302995.0,,3409605.0,3783631.0,
