row_label_raw,row_label_full,col_0,Dự phòng cụ thểTriệu VND,Dự phòng chungTriệu VND,Tổng cộngTriệu VND,numeric__Dự phòng cụ thểTriệu VND,numeric__Dự phòng chungTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 01/01/2014(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 01/01/2014(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 01/01/2014(Hoàn nhập) dự phòng trong năm,18.097(18.023),146.668(89.445),164.765(107.468),,,
Số dư tại ngày 31/12/2014Trích lập/(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 01/01/2014(Hoàn nhập) dự phòng trong năm > Số dư tại ngày 31/12/2014Trích lập/(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 31/12/2014Trích lập/(Hoàn nhập) dự phòng trong năm,74929,57.223(57.223),57.297(56.294),74929.0,,
Số dư tại ngày 31/12/2015,Số dư tại ngày 01/01/2014(Hoàn nhập) dự phòng trong năm > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,1.003,-,1.003,1003.0,,1003.0
