row_label_raw,row_label_full,col_0,Kinh doanh,Giữ đến ngày đáo hạn,Cho vay và phải thu,Sẵn sàng để bán,Tổng cộng giá trị ghi số,Giá trị hợp lý,numeric__Kinh doanh,numeric__Giữ đến ngày đáo hạn,numeric__Cho vay và phải thu,numeric__Sẵn sàng để bán,numeric__Tổng cộng giá trị ghi số,numeric__Giá trị hợp lý
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,6.588.849,6.588.849,(*),,,,6588849.0,6588849.0,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,21.718.717,-,21.718.717,(*),,,21718717.0,,21718717.0,
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,-,29.836.464,37.424.181,-,67.260.645,(*),,29836464.0,37424181.0,,67260645.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,8.872.709,-,-,-,8.872.709,(*),8872709.0,,,,8872709.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,101.882,-,-,-,101.882,(*),101882.0,,,,101882.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,590.917.428,-,590.917.428,(*),,,590917428.0,,590917428.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,86.813.946,86.813.946,(*),,,,86813946.0,86813946.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,15.914.625,-,-,15.914.625,(*),,15914625.0,,,15914625.0,
Góp vốn đầu tư dài hạn khác,Góp vốn đầu tư dài hạn khác,Góp vốn đầu tư dài hạn khác,-,-,-,379.513,379.513,(*),,,,379513.0,379513.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,16.028.830,-,16.028.830,(*),,,16028830.0,,16028830.0,
,,,8.974.591,45.751.089,666.089.156,93.782.308,814.597.144,,8974591.0,45751089.0,666089156.0,93782308.0,814597144.0,
