row_label_raw,row_label_full,col_0,Năm 2015,Năm 2014,numeric__Năm 2015,numeric__Năm 2014
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.537.553,2.440.970,3537553.0,2440970.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,2.629.481,1.766.224,2629481.0,1766224.0
Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,781.302,216.473,781302.0,216473.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,3.968,1.204,3968.0,1204.0
Thu khác,Thu khác,Thu khác,122.802,457.069,122802.0,457069.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.168.160),(847.030),-1168160.0,-847030.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(520.639),(165.354),-520639.0,-165354.0
Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,(307.985),(353.602),-307985.0,-353602.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(339.536),(328.074),-339536.0,-328074.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,2.369.393,1.593.940,2369393.0,1593940.0
