row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Vốn khác,Quỹ khác thuộc Vốn chủ sở hữu,Chênh lệch tỷ giá,Lợi nhuận chưa phân phối,Lợi ích cổ đông thiểu số,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông thiểu số,numeric__Tổng cộng
Số dư tại ngày 01 tháng 01 năm 2015,Số dư tại ngày 01 tháng 01 năm 2015,Số dư tại ngày 01 tháng 01 năm 2015,28.112.026,30.306,1.097.913,549.615,765,-,8.520,(44.885),3.517.007,334.932,33.606.199,28112026.0,30306.0,1097913.0,549615.0,765.0,,8520.0,-44885.0,3517007.0,334932.0,33606199.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,6.075.127,-,544.813,272.052,1.411,54.317,2.559,6.354,6.312.835,1.139.059,14.408.527,6075127.0,,544813.0,272052.0,1411.0,54317.0,2559.0,6354.0,6312835.0,1139059.0,14408527.0
Tăng từ việc nhận sáp nhập MHB,Tăng từ việc nhận sáp nhập MHB,Tăng từ việc nhận sáp nhập MHB,3.369.211,-,24.461,11.967,-,-,-,-,-,-,3.405.639,3369211.0,,24461.0,11967.0,,,,,,,3405639.0
Tăng vốn từ phát hành cổ phiếu cho cổ đông khác,Tăng vốn từ phát hành cổ phiếu cho cổ đông khác,Tăng vốn từ phát hành cổ phiếu cho cổ đông khác,127.741,-,-,-,-,-,-,-,-,1.059.507,1.187.248,127741.0,,,,,,,,,1059507.0,1187248.0
Tăng vốn từ phát hành cổ phiếu cho cổ đông Nhà nước,Tăng vốn từ phát hành cổ phiếu cho cổ đông Nhà nước,Tăng vốn từ phát hành cổ phiếu cho cổ đông Nhà nước,2.578.175,-,-,-,-,-,-,-,-,-,2.578.175,2578175.0,,,,,,,,,,2578175.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,-,-,-,6.298.081,78.675,6.376.756,,,,,,,,,6298081.0,78675.0,6376756.0
BIDV trich quỹ trong năm,BIDV trich quỹ trong năm,BIDV trich quỹ trong năm,-,-,520.000,260.000,-,-,-,-,-,-,780.000,,,520000.0,260000.0,,,,,,,780000.0
Điều chỉnh do áp dụng thông tư 202,Điều chỉnh do áp dụng thông tư 202,Điều chỉnh do áp dụng thông tư 202,-,-,-,-,1.411,54.317,-,-,-,-,55.728,,,,,1411.0,54317.0,,,,,55728.0
Công ty con trích quỹ,Công ty con trích quỹ,Công ty con trích quỹ,-,-,352,85,-,-,2.559,-,-,-,2.996,,,352.0,85.0,,,2559.0,,,,2996.0
Tăng do kết quả của KTNN,Tăng do kết quả của KTNN,Tăng do kết quả của KTNN,-,-,-,-,-,-,-,-,13.465,407,13.872,,,,,,,,,13465.0,407.0,13872.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,6.354,1.289,470,8.113,,,,,,,,6354.0,1289.0,470.0,8113.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,(6.130),(2.103),(493),-,(4.834),(4.114),(5.573.339),(88.253),(5.679.266),,,-6130.0,-2103.0,-493.0,,-4834.0,-4114.0,-5573339.0,-88253.0,-5679266.0
Xử lý tổn thất liên quan đến hoạt động thể,Xử lý tổn thất liên quan đến hoạt động thể,Xử lý tổn thất liên quan đến hoạt động thể,-,-,(514),-,-,-,-,-,-,-,(514),,,-514.0,,,,,,,,-514.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(1.346.630),(6.370),(1.353.000),,,,,,,,,-1346630.0,-6370.0,-1353000.0
Công ty con trích quỹ,Công ty con trích quỹ,Công ty con trích quỹ,-,-,-,-,-,-,-,-,(2.996),-,(2.996),,,,,,,,,-2996.0,,-2996.0
BIDV trich quỹ trong năm,BIDV trich quỹ trong năm,BIDV trich quỹ trong năm,-,-,-,-,-,-,-,-,(780.000),-,(780.000),,,,,,,,,-780000.0,,-780000.0
Giảm do nhận phần lỗ lũy kế của MHB khi sáp nhập vào BIDV,Giảm do nhận phần lỗ lũy kế của MHB khi sáp nhập vào BIDV,Giảm do nhận phần lỗ lũy kế của MHB khi sáp nhập vào BIDV,-,-,-,-,-,-,-,-,(475.818),(69.857),(545.675),,,,,,,,,-475818.0,-69857.0,-545675.0
