row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tảiTriệu VND,Thiết bị dụng cụquản lýTriệu VND,TSCĐ khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tảiTriệu VND,numeric__Thiết bị dụng cụquản lýTriệu VND,numeric__TSCĐ khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư tại ngày 01 tháng 01 năm 2014,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 01 tháng 01 năm 2014,Số dư tại ngày 01 tháng 01 năm 2014,2.580.481,1.988.358,691.188,31.083,46.979,5.338.089,2580481.0,1988358.0,691188.0,31083.0,46979.0,5338089.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,72.900,269.320,182.201,7.355,44.476,576.252,72900.0,269320.0,182201.0,7355.0,44476.0,576252.0
Dầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Dầu tư XDCB hoàn thành,Dầu tư XDCB hoàn thành,264.440,-,-,-,-,264.440,264440.0,,,,,264440.0
Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,-,-,,,-,,,,,,
Tăng khác,Mua lại TSCĐ thuê tài chính > Tăng khác,Tăng khác,49.683,6.419,4.068,559,195,60.924,49683.0,6419.0,4068.0,559.0,195.0,60924.0
"Thanh lý, nhượng bán","Mua lại TSCĐ thuê tài chính > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.730),(19.247),(8.833),(531),(1.499),(37.840),-7730.0,-19247.0,-8833.0,-531.0,-1499.0,-37840.0
Giảm khác,Mua lại TSCĐ thuê tài chính > Giảm khác,Giảm khác,(651),(2.808),(1.278),-,-,(4.737),-651.0,-2808.0,-1278.0,,,-4737.0
Số dư tại ngày 31 tháng 12 năm 2014,Mua lại TSCĐ thuê tài chính > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,2.959.123,2.242.042,867.346,38.466,90.151,6.197.128,2959123.0,2242042.0,867346.0,38466.0,90151.0,6197128.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư tại ngày 01 tháng 01 năm 2014,Giá trị hao mòn lũy kế > Số dư tại ngày 01 tháng 01 năm 2014,Số dư tại ngày 01 tháng 01 năm 2014,557.244,1.374.476,447.534,12.639,22.870,2.414.763,557244.0,1374476.0,447534.0,12639.0,22870.0,2414763.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,107.022,154.017,67.308,4.606,16.763,349.716,107022.0,154017.0,67308.0,4606.0,16763.0,349716.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,844,6.140,2.345,1.626,196,11.151,844.0,6140.0,2345.0,1626.0,196.0,11151.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.005),(19.103),(8.020),(381),(1.494),(35.003),-6005.0,-19103.0,-8020.0,-381.0,-1494.0,-35003.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(143),(1.375),(375),-,(11),(1.904),-143.0,-1375.0,-375.0,,-11.0,-1904.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,658.962,1.514.155,508.792,18.490,38.324,2.738.723,658962.0,1514155.0,508792.0,18490.0,38324.0,2738723.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư tại ngày 01 tháng 01 năm 2014,Giá trị còn lại của TSCĐ hữu hình > Số dư tại ngày 01 tháng 01 năm 2014,Số dư tại ngày 01 tháng 01 năm 2014,2.023.237,613.882,243.654,18.444,24.109,2.923.325,2023237.0,613882.0,243654.0,18444.0,24109.0,2923325.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị còn lại của TSCĐ hữu hình > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,2.300.161,727.887,358.554,19.975,51.828,3.458.405,2300161.0,727887.0,358554.0,19975.0,51828.0,3458405.0
