row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2015,31/12/2014,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",7,6.588.849,5.393.484,,7.0,6588849.0,5393484.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),8,21.718.717,23.097.743,,8.0,21718717.0,23097743.0
III.,A > III.,III.,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,9,67.260.645,50.062.372,,9.0,67260645.0,50062372.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,47.686.682,36.339.130,,,47686682.0,36339130.0
2.,A > 2.,2.,Cho vay các TCTD khác,,19.574.966,13.780.539,,,19574966.0,13780539.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại các TCTD khác và cho vay các TCTD khác,10,(1.003),(57.297),,10.0,-1003.0,-57297.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,11,8.872.709,8.430.766,,11.0,8872709.0,8430766.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,8.903.682,8.461.171,,,8903682.0,8461171.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(30.973),(30.405),,,-30973.0,-30405.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,12,101.882,-,,12.0,101882.0,
VI.,A > VI.,VI.,Cho vay khách hàng,,590.917.428,439.070.127,,,590917428.0,439070127.0
1.,A > 1.,1.,Cho vay khách hàng,13,598.434.475,445.693.100,,13.0,598434475.0,445693100.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,14,(7.517.047),(6.622.973),,14.0,-7517047.0,-6622973.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,15,121.564.774,91.816.995,,15.0,121564774.0,91816995.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,87.421.277,73.993.126,,,87421277.0,73993126.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,36.848.571,19.528.127,,,36848571.0,19528127.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(2.705.074),(1.704.258),,,-2705074.0,-1704258.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",16,5.250.679,4.782.587,,16.0,5250679.0,4782587.0
1.,A > 1.,1.,Vốn góp liên doanh,16.1,4.302.995,3.783.631,,161.0,4302995.0,3783631.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,16.2,568.171,516.381,,162.0,568171.0,516381.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,539.162,621.835,,,539162.0,621835.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,,(159.649),(139.260),,,-159649.0,-139260.0
IX.,A > IX.,IX.,Tài sản cố định,17,8.535.310,6.672.040,,17.0,8535310.0,6672040.0
1.,A > 1.,1.,Tài sản cố định hữu hình,17.1,4.554.885,3.458.405,,171.0,4554885.0,3458405.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,8.129.132,6.197.128,,,8129132.0,6197128.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(3.574.247),(2.738.723),,,-3574247.0,-2738723.0
2.,A > 2.,2.,Tài sản cố định vô hình,17.2,3.980.425,3.213.635,,172.0,3980425.0,3213635.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,4.681.424,3.718.900,,,4681424.0,3718900.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(700.999),(505.265),,,-700999.0,-505265.0
X.,A > X.,X.,Tài sản Có khác,18,19.858.656,21.014.259,,18.0,19858656.0,21014259.0
1.,A > 1.,1.,Các khoản phải thu,,5.132.165,8.312.765,,,5132165.0,8312765.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,9.386.292,8.306.487,,,9386292.0,8306487.0
3.,3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
4.,3. > 4.,4.,Tài sản có khác,,5.489.966,4.497.645,,,5489966.0,4497645.0
5.,3. > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,,(149.767),(102.638),,,-149767.0,-102638.0
,,,TỔNG TÀI SẢN,,850.669.649,650.340.373,,,850669649.0,650340373.0
