row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.953.731.569.056,7.590.864.887.590,291.029.625.053,80.579.358.455,141.064.732.263,11.057.270.172.417,2953731569056.0,7590864887590.0,291029625053.0,80579358455.0,141064732263.0,11057270172417.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,45.241.205.402,152.012.561.339,26.754.545.222,8.744.463.786,1.854.806.846,234.607.582.595,45241205402.0,152012561339.0,26754545222.0,8744463786.0,1854806846.0,234607582595.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,367.062.053.945,817.930.417.810,12.873.237.336,5.546.204.404,4.325.719.483,1.207.737.632.978,367062053945.0,817930417810.0,12873237336.0,5546204404.0,4325719483.0,1207737632978.0
Chuyển sang chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển sang chi phí xây dựng cơ bản dở dang,Chuyển sang chi phí xây dựng cơ bản dở dang,(33.212.272.904),-,-,-,-,(33.212.272.904),-33212272904.0,,,,,-33212272904.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,68.627.086.431,-,-,-,68.627.086.431,,68627086431.0,,,,68627086431.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,-,10.106.802.501,-,-,-,10.106.802.501,,10106802501.0,,,,10106802501.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(9.515.408.804),(201.109.715.879),(9.755.823.260),(1.214.246.694),(48.000.000),(221.643.194.637),-9515408804.0,-201109715879.0,-9755823260.0,-1214246694.0,-48000000.0,-221643194637.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(87.750.000),-,-,-,(87.750.000),,-87750000.0,,,,-87750000.0
Giảm do mất quyền kiểm soát tại các công ty con,Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(18.665.221.396),(61.957.995.288),(4.344.265.387),(457.383.615),(1.346.599.608),(86.771.465.294),-18665221396.0,-61957995288.0,-4344265387.0,-457383615.0,-1346599608.0,-86771465294.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,9.550.582.651,(16.579.310.157),6.410.607.566,618.119.940,-,-,9550582651.0,-16579310157.0,6410607566.0,618119940.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.314.192.507.950,8.359.806.984.347,322.967.926.530,93.816.516.276,145.850.658.984,12.236.634.594.087,3314192507950.0,8359806984347.0,322967926530.0,93816516276.0,145850658984.0,12236634594087.0
