row_label_raw,row_label_full,col_0,Hạ tầngkhu công nghiệpVND,Nhà cửaVND,Vật kiến trúcVND,Tổng cộngVND,numeric__Hạ tầngkhu công nghiệpVND,numeric__Nhà cửaVND,numeric__Vật kiến trúcVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,66.440.098.961,52.263.793.886,6.977.673.692,125.681.566.539,66440098961.0,52263793886.0,6977673692.0,125681566539.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,66.673.084.791,-,-,66.673.084.791,66673084791.0,,,66673084791.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,2.098.032.252,-,2.098.032.252,,2098032252.0,,2098032252.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(248.867.118),-,(248.867.118),,-248867118.0,,-248867118.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,5.595.710.019,-,(5.595.710.019),-,5595710019.0,,-5595710019.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,138.708.893.771,54.112.959.020,1.381.963.673,194.203.816.464,138708893771.0,54112959020.0,1381963673.0,194203816464.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.109.033.093,20.573.890.881,421.410.322,24.104.334.296,3109033093.0,20573890881.0,421410322.0,24104334296.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.301.424.222,1.656.144.126,138.335.084,4.095.903.432,2301424222.0,1656144126.0,138335084.0,4095903432.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(248.867.118),-,(248.867.118),,-248867118.0,,-248867118.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.410.457.315,21.981.167.889,559.745.406,27.951.370.610,5410457315.0,21981167889.0,559745406.0,27951370610.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,63.331.065.868,31.689.903.005,6.556.263.370,101.577.232.243,63331065868.0,31689903005.0,6556263370.0,101577232243.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,133.298.436.456,32.131.791.131,822.218.267,166.252.445.854,133298436456.0,32131791131.0,822218267.0,166252445854.0
