row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,146.205.058.485,16.130.453.422,1.101.661.600,163.437.173.507,146205058485.0,16130453422.0,1101661600.0,163437173507.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,25.931.000,1.305.761.249,500.000.000,1.831.692.249,25931000.0,1305761249.0,500000000.0,1831692249.0
Chuyển từ xây dựng cơbản dở dang,Nguyên giá > Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,-,484.000.000,84.167.311,568.167.311,,484000000.0,84167311.0,568167311.0
Giảm do mất quyền kiểm soát tại các công ty con,Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,-,(237.100.000),-,(237.100.000),,-237100000.0,,-237100000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,146.230.989.485,17.683.114.671,1.685.828.911,165.599.933.067,146230989485.0,17683114671.0,1685828911.0,165599933067.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,18.499.697.665,8.895.872.171,603.640.591,27.999.210.427,18499697665.0,8895872171.0,603640591.0,27999210427.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.859.817.451,2.192.832.801,10.228.130,5.062.878.382,2859817451.0,2192832801.0,10228130.0,5062878382.0
Giảm do mất quyền kiểm soát tại các công ty con,Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,-,(175.957.915),-,(175.957.915),,-175957915.0,,-175957915.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,21.359.515.116,10.912.747.057,613.868.721,32.886.130.894,21359515116.0,10912747057.0,613868721.0,32886130894.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,127.705.360.820,7.234.581.251,498.021.009,135.437.963.080,127705360820.0,7234581251.0,498021009.0,135437963080.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,124.871.474.369,6.770.367.614,1.071.960.190,132.713.802.173,124871474369.0,6770367614.0,1071960190.0,132713802173.0
