row_label_raw,row_label_full,col_0,31/12/2017 > Tỷ lệ % sở hữu,31/12/2017 > Tỷ lệ % quyền biểu quyết,31/12/2017 > Giá trị ghi số VND,31/12/2017 > Giá trị hợp lý VND,1/1/2017 > Tỷ lệ % quyền biểu quyết,1/1/2017 > Giá trị ghi số VND,1/1/2017 > Giá trị hợp lý VND,numeric__31/12/2017 > Tỷ lệ % sở hữu,numeric__31/12/2017 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2017 > Giá trị ghi số VND,numeric__31/12/2017 > Giá trị hợp lý VND,numeric__1/1/2017 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2017 > Giá trị ghi số VND,numeric__1/1/2017 > Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
Tổng Công ty May 10 - CTCP,Công ty liên kết > Tổng Công ty May 10 - CTCP,Tổng Công ty May 10 - CTCP,"33,80%","33,80%",63.109.850.824,(*),"35,51%","35,51%",63.035.518.965 (*),0.33799999999999997,0.33799999999999997,63109850824.0,,0.35509999999999997,0.35509999999999997,
Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > Tổng Công ty Cổ phần May Việt Tiến,Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",358.401.200.761,(*),"31,92%","31,92%",337.701.471.152 (*),0.304,0.304,358401200761.0,,0.31920000000000004,0.31920000000000004,
Tổng Công ty Việt Thắng - CTCP,Công ty liên kết > Tổng Công ty Việt Thắng - CTCP,Tổng Công ty Việt Thắng - CTCP,"46,93%","46,93%",191.737.465.836,(*),"46,93%","46,93%",180.739.319.036 (*),0.4693,0.4693,191737465836.0,,0.4693,0.4693,
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty liên kết > Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,"27,00%","27,00%",30.072.867.458,(*),"27,00%","27,00%",25.689.104.936 (*),0.27,0.27,30072867458.0,,0.27,0.27,
Tổng Công ty May Nhà Bè - CTCP,Công ty liên kết > Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,"27,69%","27,69%",87.465.848.519,(*),"27,69%","27,69%",80.331.834.379 (*),0.27690000000000003,0.27690000000000003,87465848519.0,,0.27690000000000003,0.27690000000000003,
Công ty Cổ phần May Đức Giang,Công ty liên kết > Công ty Cổ phần May Đức Giang,Công ty Cổ phần May Đức Giang,"35,20%","35,20%",41.480.458.036,(*),"36,79%","36,79%",36.000.844.299 (*),0.35200000000000004,0.35200000000000004,41480458036.0,,0.3679,0.3679,
Công ty Cổ phần May Hưng Yên,Công ty liên kết > Công ty Cổ phần May Hưng Yên,Công ty Cổ phần May Hưng Yên,"35,01%","35,01%",98.233.343.941,(*),"35,01%","35,01%",83.176.678.571 (*),0.35009999999999997,0.35009999999999997,98233343941.0,,0.35009999999999997,0.35009999999999997,
Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,Công ty liên kết > Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,"30,00%","30,00%",85.229.836.420,(*),"30,00%","30,00%",85.438.283.818 (*),0.3,0.3,85229836420.0,,0.3,0.3,
Công ty Cổ phần Đầu tư Phát triển Phong Phú,Công ty liên kết > Công ty Cổ phần Đầu tư Phát triển Phong Phú,Công ty Cổ phần Đầu tư Phát triển Phong Phú,-,-,-,(*),"13,73%","26,93%",46.379.699.622 (*),,,,,0.1373,0.2693,
Công ty TNHH Coats Phong Phú,Công ty liên kết > Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,"17,86%","17,86%",353.406.378.107,(*),"18,18%","35,65%",311.904.292.245 (*),0.17859999999999998,0.17859999999999998,353406378107.0,,0.1818,0.3565,
Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,Công ty liên kết > Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,"22,05%","22,05%",142.760.307.656,(*),"24,30%","44,02%",142.806.374.535 (*),0.2205,0.2205,142760307656.0,,0.243,0.44020000000000004,
Các khoản đầu tư tại công ty liên kết khác,Công ty liên kết > Các khoản đầu tư tại công ty liên kết khác,Các khoản đầu tư tại công ty liên kết khác,,,436.709.316.701,(*),,,457.365.519.459 (*),,,436709316701.0,,,,
,,,,,1.888.606.874.259,,,,1.850.568.941.017,,,1888606874259.0,,,,1850568941017.0
