row_label_raw,row_label_full,Năm 2016,Công nghiệp dệt may VND,"Xuất khẩu, nhập khẩu và kinh doanh thương mại VND",Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Công nghiệp dệt may VND,"numeric__Xuất khẩu, nhập khẩu và kinh doanh thương mại VND",numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,11.822.785.442.979,2.288.206.407.653,1.350.528.964.020,-,15.461.520.814.652,11822785442979.0,2288206407653.0,1350528964020.0,,15461520814652.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,2.927.750.522.683,188.308.781.638,58.675.903.151,(3.174.735.207.472),-,2927750522683.0,188308781638.0,58675903151.0,-3174735207472.0,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,14.750.535.965.662,2.476.515.189.291,1.409.204.867.171,(3.174.735.207.472),15.461.520.814.652,14750535965662.0,2476515189291.0,1409204867171.0,-3174735207472.0,15461520814652.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,-,-,-,506.863.393.007,506.863.393.007,,,,506863393007.0,506863393007.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,616.979.303.217,(71.839.882.746),63.307.230.338,(60.446.659.480),547.999.991.329,616979303217.0,-71839882746.0,63307230338.0,-60446659480.0,547999991329.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,206.696.859.393,2.611.304.028,1.561.398.959,(7.093.203.698),203.776.358.682,206696859393.0,2611304028.0,1561398959.0,-7093203698.0,203776358682.0
Chi phí khác,Chi phí khác,Chi phí khác,(56.179.343.902),(11.633.472.651),(4.977.809.690),4.514.968.865,(68.275.657.378),-56179343902.0,-11633472651.0,-4977809690.0,4514968865.0,-68275657378.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(62.458.736.885),(471.772.891),(17.247.326.096),-,(80.177.835.872),-62458736885.0,-471772891.0,-17247326096.0,,-80177835872.0
Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,1.638.052.138,-,-,(25.638.551.839),(24.000.499.701),1638052138.0,,,-25638551839.0,-24000499701.0
Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,706.676.133.961,(81.333.824.260),42.643.493.511,(88.663.446.152),579.322.357.060,706676133961.0,-81333824260.0,42643493511.0,-88663446152.0,579322357060.0
