row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,986.616.088.222,4.074.909.962.606,166.289.579.248,45.003.711.063,66.510.341.748,5.339.329.682.887,986616088222.0,4074909962606.0,166289579248.0,45003711063.0,66510341748.0,5339329682887.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,146.494.595.761,518.735.782.612,27.291.355.295,8.315.582.456,15.727.065.060,716.564.381.184,146494595761.0,518735782612.0,27291355295.0,8315582456.0,15727065060.0,716564381184.0
Chuyển sang chi phí xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế > Chuyển sang chi phí xây dựng cơ bản dở dang,Chuyển sang chi phí xây dựng cơ bản dở dang,(9.424.339.458),-,-,-,-,(9.424.339.458),-9424339458.0,,,,,-9424339458.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,20.982.046.919,-,-,-,20.982.046.919,,20982046919.0,,,,20982046919.0
Chuyển từ chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,-,1.354.279.573,-,-,-,1.354.279.573,,1354279573.0,,,,1354279573.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(3.711.722.892),(189.162.025.784),(9.008.608.211),(1.154.876.113),(18.666.665),(203.055.899.665),-3711722892.0,-189162025784.0,-9008608211.0,-1154876113.0,-18666665.0,-203055899665.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(42.514.886),-,-,-,(42.514.886),,-42514886.0,,,,-42514886.0
Giảm do mất quyền kiểm soát tại các công ty con,Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(2.781.163.276),(16.964.370.208),(1.353.640.999),(256.958.185),(766.877.879),(22.123.010.547),-2781163276.0,-16964370208.0,-1353640999.0,-256958185.0,-766877879.0,-22123010547.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(1.624.190.738),(864.264.157),2.347.185.845,141.269.050,-,-,-1624190738.0,-864264157.0,2347185845.0,141269050.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.115.569.267.619,4.408.948.896.675,185.565.871.178,52.048.728.271,81.451.862.264,5.843.584.626.007,1115569267619.0,4408948896675.0,185565871178.0,52048728271.0,81451862264.0,5843584626007.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.967.115.480.834,3.515.954.924.984,124.740.045.805,35.575.647.392,74.554.390.515,5.717.940.489.530,1967115480834.0,3515954924984.0,124740045805.0,35575647392.0,74554390515.0,5717940489530.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.198.623.240.331,3.950.858.087.672,137.402.055.352,41.767.788.005,64.398.796.720,6.393.049.968.080,2198623240331.0,3950858087672.0,137402055352.0,41767788005.0,64398796720.0,6393049968080.0
