row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thống dư vốn cổ phần VND,Vốn khác VND,Chính lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc văn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Ngườn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,Ngườn kinh phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thống dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chính lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc văn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Ngườn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Ngườn kinh phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,5.000.000.000.000,29.911.650.892,42.248.630.739,(748.765.581.042),421.021.002.398,10.944.352.367,571.099.479.985,497.352.336.562,1.482.598.699.577,7.306.410.571.478,41.428.623.435,7.347.839.194.913,5000000000000.0,29911650892.0,42248630739.0,-748765581042.0,421021002398.0,10944352367.0,571099479985.0,497352336562.0,1482598699577.0,7306410571478.0,41428623435.0,7347839194913.0
Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,-,-,-,65.779.619.792,65.779.619.792,-,65.779.619.792,,,,,,,,,65779619792.0,65779619792.0,,65779619792.0
Ngườn kinh phí nhân từ Ngân sách Nhà nước,Ngườn kinh phí nhân từ Ngân sách Nhà nước,Ngườn kinh phí nhân từ Ngân sách Nhà nước,-,-,-,-,-,-,-,54.496.650.079,-,54.496.650.079,4.630.310.168,59.126.960.247,,,,,,,,54496650079.0,,54496650079.0,4630310168.0,59126960247.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,324.833.974.935,-,254.488.382.125,579.322.357.060,-,579.322.357.060,,,,,,,324833974935.0,,254488382125.0,579322357060.0,,579322357060.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,37.905.198.065,140.656.157,(38.045.854.222),-,-,-,-,-,,,,,37905198065.0,140656157.0,-38045854222.0,,,,,
"Phân bổ vào quỹ khien thưởng, phúc lợi","Phân bổ vào quỹ khien thưởng, phúc lợi","Phân bổ vào quỹ khien thưởng, phúc lợi",-,-,-,-,-,-,(37.296.250.097),(37.296.250.097),(19.244.750.243),(56.541.000.340),-,(56.541.000.340),,,,,,,-37296250097.0,-37296250097.0,-19244750243.0,-56541000340.0,,-56541000340.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(103.363.465),-,-,(453.703.204),(557.066.669),(8.225.417.192),(8.782.483.861),,,,,,-103363465.0,,,-453703204.0,-557066669.0,-8225417192.0,-8782483861.0
Các tức,Các tức,Các tức,-,-,-,-,-,-,(250.000.000.000),-,(139.983.650.194),(389.983.650.194),-,(389.983.650.194),,,,,,,-250000000000.0,,-139983650194.0,-389983650194.0,,-389983650194.0
Tăng do hợp nhất các công ty con mài trong năm Phân so hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày năm quyền kiểm soát,Tăng do hợp nhất các công ty con mài trong năm Phân so hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày năm quyền kiểm soát,Tăng do hợp nhất các công ty con mài trong năm Phân so hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày năm quyền kiểm soát,-,-,-,-,-,-,-,-,66.956.934.685,66.956.934.685,-,66.956.934.685,,,,,,,,,66956934685.0,66956934685.0,,66956934685.0
Giām đo mất quyền kiểm soát tại công ty con Thay đổi ty lệ lợi ích tại các công ty con mã không làm thay đổi quyền kiểm soát với các công ty con này,Giām đo mất quyền kiểm soát tại công ty con Thay đổi ty lệ lợi ích tại các công ty con mã không làm thay đổi quyền kiểm soát với các công ty con này,Giām đo mất quyền kiểm soát tại công ty con Thay đổi ty lệ lợi ích tại các công ty con mã không làm thay đổi quyền kiểm soát với các công ty con này,-,-,-,-,-,-,-,-,(59.507.455.683),(59.507.455.683),-,(59.507.455.683),,,,,,,,,-59507455683.0,-59507455683.0,,-59507455683.0
