row_label_raw,row_label_full,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_1,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_2,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_3,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_4,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_5,numeric__Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_1,numeric__Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_2,numeric__Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_3,numeric__Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_4,numeric__Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội_5
23,23,23,Công ty CP May Đông Mỹ Hanosimex,"16,68%","16,68%",1.159.000.000,1.159.000.000,,0.1668,0.1668,1159000000.0,1159000000.0
Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,,,,,
24,Công ty liên kết của Công ty CP Sợi Phú bài > 24,24,Công ty CP Sợi Phú Bài 2,"31,89%","31,89%",24.000.000.000,24.000.000.000,,0.3189,0.3189,24000000000.0,24000000000.0
Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,,,,,
25,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam > 25,25,Công ty CP May Hòa Thọ - Phú Ninh,"17,69%","17,69%",8.500.000.000,8.500.000.000,,0.1769,0.1769,8500000000.0,8500000000.0
Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,,,,,
26,Công ty liên kết của Tổng Công ty CP Phong Phú > 26,26,Công ty TNHH Coats Phong Phú (iv),"17,86%","18,18%",106.691.335.644,106.691.335.644,,0.17859999999999998,0.1818,106691335644.0,106691335644.0
27,Công ty liên kết của Tổng Công ty CP Phong Phú > 27,27,Công ty CP đầu tư phát triển Phong Phú (v),-,"13,73%",-,50.000.000.000,,,0.1373,,50000000000.0
28,Công ty liên kết của Tổng Công ty CP Phong Phú > 28,28,Công ty CP đầu tư phát triển nhà và đô thị HUD Sài Gòn (iv),"10,77%","10,97%",10.000.000.000,10.000.000.000,,0.10769999999999999,0.1097,10000000000.0,10000000000.0
29,Công ty liên kết của Tổng Công ty CP Phong Phú > 29,29,Công ty CP May Đà Lạt (iv),"20,04%","20,40%",4.231.000.000,4.231.000.000,,0.2004,0.204,4231000000.0,4231000000.0
30,Công ty liên kết của Tổng Công ty CP Phong Phú > 30,30,Công ty TNHH Xây dựng Phong Đức (v),-,"17,85%",-,3.500.000.000,,,0.17850000000000002,,3500000000.0
31,Công ty liên kết của Tổng Công ty CP Phong Phú > 31,31,Công ty CP Phát triển Nhà Phong Phú - Daewoon - Thủ Đức (iv),"22,05%","24,30%",144.596.306.997,144.586.200.608,,0.2205,0.243,144596306997.0,144586200608.0
32,Công ty liên kết của Tổng Công ty CP Phong Phú > 32,32,Công ty CP Phát triển Phong Phú Lăng Cỏ (v),-,"19,59%",-,7.299.000.000,,,0.1959,,7299000000.0
33,Công ty liên kết của Tổng Công ty CP Phong Phú > 33,33,Công ty CP Xúc tiến Thương mại và Đầu tư Phong Phú (iv),"19,74%","24,22%",8.011.203.600,8.011.203.600,,0.1974,0.2422,8011203600.0,8011203600.0
34,Công ty liên kết của Tổng Công ty CP Phong Phú > 34,34,Công ty CP May Gia Phúc (v),-,"12,75%",-,5.000.000.000,,,0.1275,,5000000000.0
35,Công ty liên kết của Tổng Công ty CP Phong Phú > 35,35,Công ty CP Đầu tư Phong Vân (iv),"23,97%","24,40%",18.994.120.000,18.994.120.000,,0.2397,0.244,18994120000.0,18994120000.0
36,Công ty liên kết của Tổng Công ty CP Phong Phú > 36,36,Công ty TNHH Linen Supply Services (vi),"10,02%",-,6.366.000.000,-,,0.1002,,6366000000.0,
