row_label_raw,row_label_full,Tại ngày 31/12/2017,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,22.752.287.485.520,338.778.653.975,2.213.971.206.938,(6.287.483.824.819),19.017.553.521.614,22752287485520.0,338778653975.0,2213971206938.0,-6287483824819.0,19017553521614.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.473.703.117.650,412.560.000,307.875.000,414.183.321.609,1.888.606.874.259,1473703117650.0,412560000.0,307875000.0,414183321609.0,1888606874259.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,24.225.990.603.170,339.191.213.975,2.214.279.081.938,(5.873.300.503.210),20.906.160.395.873,24225990603170.0,339191213975.0,2214279081938.0,-5873300503210.0,20906160395873.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,14.645.651.136.221,490.949.064.894,998.368.920.962,(3.050.121.224.610),13.084.847.897.467,14645651136221.0,490949064894.0,998368920962.0,-3050121224610.0,13084847897467.0
Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,,,,,
Chỉ tiêu vốn,Năm 2017 > Chỉ tiêu vốn,Chỉ tiêu vốn,1.518.897.259.349,24.644.967.163,156.710.325.284,(14.370.752.112),1.685.881.799.684,1518897259349.0,24644967163.0,156710325284.0,-14370752112.0,1685881799684.0
Khấu hao tài sản cố định hữu hình,Năm 2017 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,671.359.616.377,24.837.380.347,47.501.161.767,(27.133.777.307),716.564.381.184,671359616377.0,24837380347.0,47501161767.0,-27133777307.0,716564381184.0
Khấu hao tài sản cố định hữu hình thuêtài chính,Năm 2017 > Khấu hao tài sản cố định hữu hình thuêtài chính,Khấu hao tài sản cố định hữu hình thuêtài chính,6.388.429.852,-,-,-,6.388.429.852,6388429852.0,,,,6388429852.0
Khấu hao tài sản cố định vô hình,Năm 2017 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,4.740.243.010,-,76.620.780,246.014.592,5.062.878.382,4740243010.0,,76620780.0,246014592.0,5062878382.0
Khấu hao bất động sản đầu tư,Năm 2017 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,5.175.920.816,179.539.734,6.570.142.400,(7.829.699.518),4.095.903.432,5175920816.0,179539734.0,6570142400.0,-7829699518.0,4095903432.0
