row_label_raw,row_label_full,col_0,Giá trị ghi số tại thời điểm mất quyền kiểm soát VND,numeric__Giá trị ghi số tại thời điểm mất quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,11.180.577.586,11180577586.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,488.196.916,488196916.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,5.475.914.362,5475914362.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,2.514.116.067,2514116067.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.275.850.666,1275850666.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,1.385.741.120,1385741120.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,64.709.596.832,64709596832.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,3.260.139.024,3260139024.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(65.890.280.773),-65890280773.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(44.184.936.997),-44184936997.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,(19.785.085.197),-19785085197.0
Ghi giảm lợi ích cổ đông không kiểm soát của công ty con cấp 2,Ghi giảm lợi ích cổ đông không kiểm soát của công ty con cấp 2,Ghi giảm lợi ích cổ đông không kiểm soát của công ty con cấp 2,(11.155.526.487),-11155526487.0
Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,(8.629.558.710),-8629558710.0
Lợi thế thương mại còn lại tại thời điểm thanh lý,Lợi thế thương mại còn lại tại thời điểm thanh lý,Lợi thế thương mại còn lại tại thời điểm thanh lý,828.575.736,828575736.0
Lãi do mất quyền kiểm soát tại công ty con,Lãi do mất quyền kiểm soát tại công ty con,Lãi do mất quyền kiểm soát tại công ty con,32.647.549.303,32647549303.0
Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,24.846.566.329,24846566329.0
Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,(11.180.577.586),-11180577586.0
Khoản tiền thuần tăng lên do mất quyền kiểm soát tại công ty con,Khoản tiền thuần tăng lên do mất quyền kiểm soát tại công ty con,Khoản tiền thuần tăng lên do mất quyền kiểm soát tại công ty con,13.665.988.743,13665988743.0
