row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,493.468.889.820,223.923.076.259,1.0,,493468889820.0,223923076259.0
Điều chính cho các khoản,Điều chính cho các khoản,Điều chính cho các khoản,Điều chính cho các khoản,Điều chính cho các khoản,Điều chính cho các khoản,Điều chính cho các khoản,,,,
Khẩu hao TSCĐ và BDSDT,Điều chính cho các khoản > Khẩu hao TSCĐ và BDSDT,Khẩu hao TSCĐ và BDSDT,02,,11.203.326.648,15.378.964.952,2.0,,11203326648.0,15378964952.0
Các khoản dự phòng,Điều chính cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,20.921.288.431,81.271.828.327,3.0,,20921288431.0,81271828327.0
Lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chính cho các khoản > Lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,1.625.121.688,34.827.722.650,4.0,,1625121688.0,34827722650.0
(Lãi) hoạt động đầu tư,Điều chính cho các khoản > (Lãi) hoạt động đầu tư,(Lãi) hoạt động đầu tư,05,,(384.792.781.540),(473.312.660.339),5.0,,-384792781540.0,-473312660339.0
Chi phí lãi vay,Điều chính cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,409.846.969.951,374.987.360.522,6.0,,409846969951.0,374987360522.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chính cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,552.272.814.998,257.076.292.371,8.0,,552272814998.0,257076292371.0
Giảm/(Tăng) các khoản phải thu,Điều chính cho các khoản > Giảm/(Tăng) các khoản phải thu,Giảm/(Tăng) các khoản phải thu,09,,257.419.777.768,(1.848.223.749.501),9.0,,257419777768.0,-1848223749501.0
(Tăng) hàng tồn kho,Điều chính cho các khoản > (Tăng) hàng tồn kho,(Tăng) hàng tồn kho,10,,(2.939.139.372.589),(1.491.981.218.038),10.0,,-2939139372589.0,-1491981218038.0
"Tăng/(Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Điều chính cho các khoản > Tăng/(Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/(Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,1.122.555.638.609,(350.107.456.408),11.0,,1122555638609.0,-350107456408.0
(Tăng)/Giảm chi phí trả trước,Điều chính cho các khoản > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,,(4.287.024.886),1.604.746.813,12.0,,-4287024886.0,1604746813.0
Tiền lãi vay đã trả,Điều chính cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(531.237.592.359),(366.522.684.877),14.0,,-531237592359.0,-366522684877.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chính cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(83.171.685.959),(178.419.835.899),15.0,,-83171685959.0,-178419835899.0
Tiền thu khác từ hoạt động kinh doanh,Điều chính cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,17.216.216,-,16.0,,17216216.0,
Tiền chi khác từ hoạt động kinh doanh,Điều chính cho các khoản > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(2.096.343.683),(13.081.212.604),17.0,,-2096343683.0,-13081212604.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chính cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(1.627.666.571.885),(3.989.655.118.143),20.0,,-1627666571885.0,-3989655118143.0
Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(27.159.681.402),(76.735.554.243),21.0,,-27159681402.0,-76735554243.0
"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,90.909.091,-,22.0,,90909091.0,
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(2.030.944.481.552),(100.000.000.000),23.0,,-2030944481552.0,-100000000000.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,1.211.938.028.016,-,24.0,,1211938028016.0,
Tiền chi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(769.728.787.692),(9.796.000.000),25.0,,-769728787692.0,-9796000000.0
