row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Nhà cửavật kiến trúcVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Nhà cửavật kiến trúcVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,7.306.972.991,68.357.297.281,75.664.270.272,7306972991.0,68357297281.0,75664270272.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,7.306.972.991,68.357.297.281,75.664.270.272,7306972991.0,68357297281.0,75664270272.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,
01/01/2025,GIÁ TRỊ HAO MÒN > 01/01/2025,01/01/2025,-,(12.416.962.240),(12.416.962.240),,-12416962240.0,-12416962240.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,-,(1.536.119.040),(1.536.119.040),,-1536119040.0,-1536119040.0
31/12/2025,GIÁ TRỊ HAO MÒN > 31/12/2025,31/12/2025,-,(13.953.081.280),(13.953.081.280),,-13953081280.0,-13953081280.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,7.306.972.991,55.940.335.041,63.247.308.032,7306972991.0,55940335041.0,63247308032.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,7.306.972.991,54.404.216.001,61.711.188.992,7306972991.0,54404216001.0,61711188992.0
